cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,10972,-14028,-89,-89,10972,36.0,546,190,74,1418725
ABal:2,ABal,2,10940,-14059,-111,-111,10940,37.4,552,231,70,1680722
ABala:7,ABala,7,11525,-13474,-135,-136,11525,37.1,557,299,59,1172338
ABalaa:18,ABalaa,18,12391,-12608,-100,-99,12391,38.2,572,307,54,965003
ABalaaa:36,ABalaaa,36,13061,-11938,-78,-75,13061,37.4,582,294,47,653812
ABalaaaa:58,ABalaaaa,58,13612,-11387,535,555,13612,43.7,571,312,41,440748
ABalaaaal:87,ABalaaaal,87,12820,-12179,71,72,12820,37.5,581,248,35,406180
ABalaaaala:121,ABalaaaala,121,14281,-10718,1388,1517,14281,46.8,559,209,32,308205
ABalaaaalal:192,ABalaaaalal,192,12496,-12503,104,116,12496,46.2,555,208,26,156356
ABalaaaalar:192,ABalaaaalar,192,12584,-12415,190,184,12584,42.4,564,220,27,178852
ABalaaaalp:121,ABalaaaalp,121,13233,-11766,383,529,13233,50.2,532,183,31,252265
ABalaaaalpa:179,ABalaaaalpa,179,12651,-12348,105,238,12651,48.0,567,194,29,198407
ABalaaaalpp:179,ABalaaaalpp,179,12456,-12543,9,73,12456,50.5,557,192,28,165450
ABalaaaar:87,ABalaaaar,87,12838,-12161,74,86,12838,40.5,592,301,35,438729
ABalaaaarl:122,ABalaaaarl,122,13795,-11204,969,1068,13795,43.3,569,242,30,244887
ABalaaaarla:175,ABalaaaarla,175,12572,-12427,24,192,12572,45.8,584,221,28,177152
ABalaaaarlp:175,ABalaaaarlp,175,12621,-12379,28,112,12621,43.5,578,243,27,158209
ABalaaaarr:122,ABalaaaarr,122,14089,-10910,1231,1316,14089,45.6,563,303,30,245465
ABalaaaarra:178,ABalaaaarra,178,13472,-11527,731,844,13472,48.5,568,294,27,167120
ABalaaaarrp:178,ABalaaaarrp,178,13571,-11428,860,928,13571,44.4,577,276,28,176407
ABalaaap:58,ABalaaap,58,13548,-11451,516,529,13548,34.8,550,336,42,444307
ABalaaapa:83,ABalaaapa,83,12925,-12074,171,179,12925,31.5,587,298,37,485486
ABalaaapal:119,ABalaaapal,119,14744,-10255,1912,1998,14744,39.7,569,213,32,281470
ABalaaapall:173,ABalaaapall,173,12496,-12503,83,126,12496,44.5,560,169,27,148710
ABalaaapalr:173,ABalaaapalr,173,12743,-12256,194,284,12743,39.4,566,208,29,175661
ABalaaapar:119,ABalaaapar,119,14668,-10331,1885,1910,14668,37.9,581,277,32,260604
ABalaaaparl:186,ABalaaaparl,186,12427,-12572,95,142,12427,41.4,597,225,27,121294
ABalaaaparr:186,ABalaaaparr,186,12584,-12416,166,194,12584,40.3,596,253,27,131576
ABalaaapp:83,ABalaaapp,83,12922,-12077,163,161,12922,30.3,550,328,38,513515
ABalaaappl:119,ABalaaappl,119,15181,-9818,2327,2371,15181,36.9,570,322,30,240141
ABalaaappll:181,ABalaaappll,181,12828,-12171,210,333,12828,40.4,594,290,27,118605
ABalaaapplr:181,ABalaaapplr,181,12750,-12249,209,310,12750,39.9,590,316,28,124704
ABalaaappr:119,ABalaaappr,119,13745,-11254,1053,1121,13745,40.1,547,358,34,275087
ABalaaapprl:166,ABalaaapprl,166,12703,-12296,-79,166,12703,40.7,558,323,28,149385
ABalaaapprr:166,ABalaaapprr,166,12471,-12528,119,153,12471,44.9,552,358,28,138096
ABalaap:36,ABalaap,36,13049,-11950,-89,-89,13049,47.5,540,244,46,500875
ABalaapa:57,ABalaapa,57,12917,-12082,-39,-26,12917,40.4,520,325,41,425223
ABalaapaa:86,ABalaapaa,86,12655,-12344,-54,-51,12655,39.4,549,365,34,328061
ABalaapaaa:124,ABalaapaaa,124,14653,-10346,1601,1776,14653,45.6,551,335,30,208957
ABalaapaaal:186,ABalaapaaal,186,13180,-11819,413,554,13180,43.0,573,296,24,98327
ABalaapaaar:186,ABalaapaaar,186,13057,-11942,523,585,13057,42.5,578,321,27,133756
ABalaapaap:124,ABalaapaap,124,13637,-11362,799,918,13637,50.0,516,354,30,184833
ABalaapaapa:184,ABalaapaapa,184,12643,-12356,120,223,12643,46.7,571,325,26,115623
