Lineage,Cell,Time
AB,NA,3
ABa,NA,19
ABal,NA,43
ABala,NA,56
ABalaa,NA,75
ABalaaa,NA,103
ABalaaaa,NA,137
ABalaaaal,NA,181
ABalaaaala,NA,232
ABalaaaalal,AINL,330
ABalaaaalar,death,330
ABalaaaalp,NA,232
ABalaaaalpa,death,325
ABalaaaalpp,ILshL,325
ABalaaaar,NA,181
ABalaaaarl,NA,233
ABalaaaarla,death,314
ABalaaaarlp,RMEL,314
ABalaaaarr,NA,233
ABalaaaarra,death,314
ABalaaaarrp,RMER,314
ABalaaap,NA,137
ABalaaapa,NA,175
ABalaaapal,NA,225
ABalaaapall,ILsoL,299
ABalaaapalr,AVDL,299
ABalaaapar,NA,225
ABalaaaparl,death,313
ABalaaaparr,ILshDL,313
ABalaaapp,NA,175
ABalaaappl,NA,226
ABalaaappll,ILshDR,312
ABalaaapplr,death,312
ABalaaappr,NA,226
ABalaaapprl,AVDR,300
ABalaaapprr,ILsoR,300
ABalaap,NA,103
ABalaapa,NA,137
ABalaapaa,NA,181
ABalaapaaa,NA,236
ABalaapaaal,death,334
ABalaapaaar,AINR,334
ABalaapaap,NA,236
ABalaapaapa,death,325
ABalaapaapp,ILshR,325
ABalaapap,NA,181
ABalaapapa,death,235
ABalaapapp,NA,235
ABalaapappa,death,309
ABalaapappp,CEPsoVR,309
ABalaapp,NA,137
ABalaappa,NA,175
ABalaappaa,death,230
ABalaappap,NA,230
ABalaappapa,AVAR,308
ABalaappapp,OLQsoVR,308
ABalaappp,NA,175
ABalaapppa,NA,223
ABalaapppaa,RIAR,316
ABalaapppap,death,316
ABalaapppp,NA,223
ABalaappppa,NA,289
ABalaappppaa,IL1R,400
ABalaappppap,death,400
ABalaappppp,IL2R,289
ABalap,NA,75
ABalapa,NA,103
ABalapaa,NA,135
ABalapaaa,NA,175
ABalapaaaa,NA,229
ABalapaaaaa,AVHL,348
ABalapaaaap,death,348
ABalapaaap,NA,229
ABalapaaapa,CANL,301
ABalapaaapp,OLLsoL,301
ABalapaap,NA,175
ABalapaapa,NA,225
ABalapaapaa,RIAL,321
ABalapaapap,death,321
ABalapaapp,NA,225
ABalapaappa,NA,291
ABalapaappaa,IL1L,400
ABalapaappap,death,400
ABalapaappp,IL2L,291
ABalapap,NA,135
ABalapapa,NA,171
ABalapapaa,death,226
