series	parent	daughter1	x1	y1	z1	daughter2	x2	y2	z2	dx	dy	dz	refx	refy	refz	dot
20101213_RW10889_pal-1_L2	AB	ABa	-6.7181723381947	1.4281201705199	-4.90651321548581	ABp	-1.62849571224251	-5.08589060396739	-3.82750661610085	0.61051088913882	-0.781360939418834	0.129427727297689	0.761663424615479	-0.512932353682236	-0.0539190446483779	0.858810500911078
20101213_RW10889_pal-1_L2	ABa	ABal	-9.6296613037419	-0.603061486915901	-5.98551981487076	ABar	-8.87869404631681	-1.94547286612121	-0.590486817945992	0.133861615736096	-0.239287870977342	0.961676859779652	0.267321344951963	-0.387703795413468	0.560700440856913	0.667769522170682
20101213_RW10889_pal-1_L2	ABal	ABala	-13.8845047393637	-0.749729391798614	-4.90651321548581	ABalp	-11.7030165480153	1.29429681980133	1.02802308113144	0.328291547431128	0.307604932567228	0.893086706510396	0.347193663487952	0.409712638120011	0.734965142874175	0.896397972315029
20101213_RW10889_pal-1_L2	ABala	ABalaa	-14.6394102175193	-2.24287093573686	2.64653298020887	ABalap	-12.2574090149427	-3.65828738007678	-4.90651321548581	0.296075947524478	-0.175932222219858	-0.938822073921499	0.438969301403456	-0.175802873448653	-0.805279949754001	0.916912234561096
20101213_RW10889_pal-1_L2	ABalaa	ABalaaa	-16.9336072664602	-3.31016886841806	0.488519781438964	ABalaap	-12.2744372774386	0.506832368107941	3.72553957959382	0.68138325596396	0.558219755169032	0.473400003623763	0.509266734486307	0.67774597121396	0.379815353072066	0.905141605336945
20101213_RW10889_pal-1_L2	ABalaaa	ABalaaaa	-13.2416704290136	-6.0335252893211	6.42305607805621	ABalaaap	-13.742315267297	-5.13858436985089	-1.66949341733095	-0.0613741282207719	0.109710945847181	-0.992066895298123	0.245702381385887	-0.314717231521662	-0.847462604108424	0.791131899935132
20101213_RW10889_pal-1_L2	ABalaaaa	ABalaaaal	-15.1446309663202	3.57018278096927	-2.20899671702342	ABalaaaar	-16.4499906906726	-0.0399900397035355	2.64653298020887	-0.210889232368408	-0.583246564656073	0.784441952274324	-0.126726816970437	-0.555238884836189	0.765968792380594	0.951424548171803
20101213_RW10889_pal-1_L2	ABalaaaal	ABalaaaala	-16.4421142492117	5.63111580658358	1.02802308113144	ABalaaaalp	-14.7612708961467	8.57008293765372	1.02802308113144	0.496458099133543	0.868060686706125	0	0.519706621372971	0.776184290436468	0.0971249081885247	0.931787629520728
20101213_RW10889_pal-1_L2	ABalaaaala	ABalaaaalal	-13.7599812195799	6.78020109871331	4.2650428792863	ABalaaaalar	-15.0633718335672	4.58780473961228	2.64653298020887	-0.431477423696433	-0.72577592825569	-0.535795235892296	-0.358375603723389	-0.723020845817016	-0.411013032675348	0.899600932528376
20101213_RW10889_pal-1_L2	ABalaaaalp	ABalaaaalpa	-15.2783063071389	5.87647788492919	6.42305607805621	ABalaaaalpp	-12.3333985063871	7.33108576637501	9.1205725765186	0.69287227669901	0.3422373611372	0.634666524108351	0.684240662553775	0.445225972622768	0.514939249694884	0.953279051384647
