paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
AB NA															12																						12							
ABa 1						11							12	11	12		12		14									11							12	11	12		12		14			
ABal 1	15	6	15		7	14	14	15	10	5	6	7	16	15	15	14	14	14	14	15	15	10	15	6	15		7	14	14	15	10	5	6	7	16	15	15	14	14	14	14	15	15	10
ABala 1	20	19	17	11	19	18	19	17	18	17	20	19	18	16	16	18	19	18	17	18	18	16	20	19	17	11	19	18	19	17	18	17	20	19	18	16	16	18	19	18	17	18	18	16
ABalaa 1	27	27	25	23	28	24	24	27	24	27	28	24	26	24	26	24	26	28	26	24	27	26	27	27	25	23	28	24	24	27	24	27	28	24	26	24	26	24	26	28	26	24	27	26
ABalaaa 1	34	33	30	32	32	31	34	31	31	30	37	32	31	31	32	32	34	33	33	32	33	29	34	33	30	32	32	31	34	31	31	30	37	32	31	31	32	32	34	33	33	32	33	29
ABalaaaa 1	44	46	42	42	42	42	43	43	43	41	49	42	40	42	41	42	44	44	40	42	43	43	44	46	42	42	42	42	43	43	43	41	49	42	40	42	41	42	44	44	40	42	43	43
ABalaaaal 1	45	47	50	49	52	46	51	50	51	49	51	52	49	47	47	47	49	50	48	50	49	49	45	47	50	49	52	46	51	50	51	49	51	52	49	47	47	47	49	50	48	50	49	49
ABalaaaala 1	109	100		90	103	100		84	95	83		102			91	104	104	93	108	107	88	93	109	100		90	103	100		84	95	83		102			91	104	104	93	108	107	88	93
ABalaaaalal NA																																												
ABalaaaalar NA																																												
ABalaaaalp 1	99	90	89	94	97	91	89	89	89	90	83	92	98	108	89	87	90	90	89	93	88	86	99	90	89	94	97	91	89	89	89	90	83	92	98	108	89	87	90	90	89	93	88	86
ABalaaaalpa NA																																												
ABalaaaalpp NA																																												
ABalaaaar 1	46	49	53	52	49	49	51	53	51	54	51	53	51	48	49	49	48	51	50	49	53	51	46	49	53	52	49	49	51	53	51	54	51	53	51	48	49	49	48	51	50	49	53	51
ABalaaaarl 1	83	81	80	81	77	75	77	78	84	82	75	85	83	78	76	78	74	86	72	81	75	73	83	81	80	81	77	75	77	78	84	82	75	85	83	78	76	78	74	86	72	81	75	73
ABalaaaarla NA																																												
ABalaaaarlp NA																																												
ABalaaaarr 1	80	79	89	85	86	71	77	83	79	80	78	78	81	77	79	80	74	80	81	78	75	74	80	79	89	85	86	71	77	83	79	80	78	78	81	77	79	80	74	80	81	78	75	74
ABalaaaarra NA																																												
ABalaaaarrp NA																																												
ABalaaap 1	41	38	38	34	37	35	36	36	36	36	41	37	37	35	35	37	37	39	37	37	38	37	41	38	38	34	37	35	36	36	36	36	41	37	37	35	35	37	37	39	37	37	38	37
