Cell	20081128_sulston	20110316_mir-1_L3	20110316_mir-1_L2	20110203_RW10890_pal-1_L4	20110125_RW10890_pal-1_L3	20110125_RW10890_pal-1_L4	20101213_RW10889_pal-1_L2	20101213_RW10889_pal-1_L3	20110209_UP2051_mls-2_L1	20110209_UP2051_mls-2_L2	20110209_UP2051_mls-2_L3	20110225_NX68_L3	20110408_RW10425_pha-4_L2	20110927_RW11144_L4	20110929_ceh-43_L1	20110726_RW10713_L1	20110731_RW10434_L1	20111116_RW10226_L4	20110916_ceh-36_L1	20120426_JIM122_L2	20120612_JIM127_L4	20120331_RW10871_L4	20120807_mir-57_L4
AB	15	NA	NA	NA	NA	NA	7.8	NA	NA	NA	NA	NA	NA	5	1.2	NA	NA	4.5	NA	6.6	NA	NA	NA
ABa	NA	9.9	NA	1.6	NA	NA	NA	6.7	NA	NA	NA	NA	NA	NA	NA	NA	8.7	NA	4.1	NA	8.8	3.2	NA
ABal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaala	NA	NA	NA	94	NA	NA	NA	95.2	NA	NA	NA	93.5	NA	103.2	116	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalal	225	6.4	18.6	NA	14.3	3.6	NA	NA	21.5	4.8	11.5	NA	NA	NA	NA	71.1	20.4	17.4	16.4	81.1	39	101.8	101.4
ABalaaaalar	45	6.4	18.6	NA	14.3	3.6	NA	NA	21.5	4.8	11.5	NA	NA	NA	NA	71.1	20.4	17.4	16.4	38.9	39	101.8	42.7
ABalaaaalp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpa	35	16.4	28	3.1	10.7	9.2	9.2	4.9	16.5	11.1	4.8	9	10	3.3	6.6	72.8	37.5	30.6	19	99.6	53.5	101.8	69.6
ABalaaaalpp	180	16.4	28	3.1	10.7	9.2	9.2	4.9	16.5	11.1	4.8	9	10	3.3	6.6	72.8	37.5	30.6	19	99.6	53.5	101.8	109.3
ABalaaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarla	90	30.9	35.7	9.4	19.6	33.2	21.5	16.3	24.8	15.9	8.1	16.5	15.1	17.2	35.3	84.5	44.3	48.1	21.5	114.9	66.5	110	96.7
ABalaaaarlp	235	30.9	35.7	9.4	19.6	33.2	21.5	16.3	24.8	15.9	8.1	16.5	15.1	17.2	35.3	84.5	44.3	48.1	21.5	114.9	66.5	110	120.5
ABalaaaarr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
