Cell	20081128_sulston	20110316_mir-1_L3	20110316_mir-1_L2	20110203_RW10890_pal-1_L4	20110125_RW10890_pal-1_L3	20110125_RW10890_pal-1_L4	20101213_RW10889_pal-1_L2	20101213_RW10889_pal-1_L3	20110209_UP2051_mls-2_L1	20110209_UP2051_mls-2_L2	20110209_UP2051_mls-2_L3	20110225_NX68_L3	20110408_RW10425_pha-4_L2	20110927_RW11144_L4	20110929_ceh-43_L1	20110726_RW10713_L1	20110731_RW10434_L1	20111116_RW10226_L4	20110916_ceh-36_L1	20120426_JIM122_L2	20120612_JIM127_L4	20120331_RW10871_L4	20120807_mir-57_L4
AB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9	NA	NA	NA	NA	NA	NA	NA
ABa	16	NA	NA	NA	NA	NA	11.2	NA	NA	NA	NA	NA	NA	12.3	10.9	11.9	NA	12.4	NA	13.6	NA	NA	NA
ABal	17	15.1	6.4	15	NA	7.3	14.3	13.7	15.2	9.7	4.9	6	7.4	15.7	14.9	15.4	14.1	14	14.1	13.7	14.8	14.8	9.9
ABala	21	20.1	18.9	16.6	10.9	18.6	17.9	18.7	17.5	18.4	17.4	20.1	18.5	17.6	16.4	15.7	18	18.6	18.2	17	17.6	18.3	16.5
ABalaa	29	26.8	27	25.3	23.9	27.9	24.4	23.9	28	25.2	27.8	27.8	24	26.3	24.5	26.1	25.1	26.2	28.2	25.6	23.3	27.4	26.5
ABalaaa	28	34.5	33.1	30.2	33.1	31.7	31.7	33.9	31.5	31.9	31.4	37.1	31.8	31.1	31.3	32.1	32.3	33.5	33.2	33.5	31.8	33.3	29.6
ABalaaaa	38	44.9	45.4	42.2	42.2	41.9	42.3	42.8	44.2	44	42.6	49.3	41.7	40.6	41.5	42	43.3	44.2	44.4	40.6	41.2	43.4	43.3
ABalaaaal	67	45.2	46.9	50	49.7	52.2	47.1	51.1	50.8	52.1	50.5	51.3	51.2	49.1	46.7	48.1	48.2	49.2	49.4	48.4	49.7	49.4	49.7
ABalaaaala	84	110	99.1	NA	91.8	102.4	102.1	NA	86.6	97.9	86.2	NA	101.5	NA	NA	92.6	106	103.7	92.5	108.2	105.9	89.4	94.4
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	129	100.2	89.9	89.4	95.4	96.9	92.7	89.1	91.8	91.4	93.1	84	91.5	98.3	108.1	90.8	88.5	90.5	90	89.6	91.5	89.4	86.4
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	67	46.7	48.5	53	53.3	48.5	50.2	51.1	54.2	52.1	55.7	51.3	52.8	50.8	48.1	49.8	50	47.7	50.6	50.1	48.4	54.3	51.3
