Cell	20081128_sulston	20110316_mir-1_L3	20110316_mir-1_L2	20110203_RW10890_pal-1_L4	20110125_RW10890_pal-1_L3	20110125_RW10890_pal-1_L4	20101213_RW10889_pal-1_L2	20101213_RW10889_pal-1_L3	20110209_UP2051_mls-2_L1	20110209_UP2051_mls-2_L2	20110209_UP2051_mls-2_L3	20110225_NX68_L3	20110408_RW10425_pha-4_L2	20110927_RW11144_L4	20110929_ceh-43_L1	20110726_RW10713_L1	20110731_RW10434_L1	20111116_RW10226_L4	20110916_ceh-36_L1	20120426_JIM122_L2	20120612_JIM127_L4	20120331_RW10871_L4	20120807_mir-57_L4
AB	16	0	0	0	NA	0	7.5	0	0	0	0	0	0	4.2	1.1	12.8	0	4.4	0	5.5	0	0	0
ABa	33	8.6	0	1.5	0	0	19.8	6	0	0	0	0	0	15.8	11.5	24.3	7.2	17.8	3.5	18.2	7.7	2.8	0
ABal	51	23.1	7.2	16.8	0	7.5	35	19.8	11.8	9.2	5.2	6.6	7.3	30.2	25.3	38.6	20.2	32.7	16.6	30.9	22	17.1	9
ABala	73	41.8	25.9	33.6	10.5	24.2	53.3	38	26.3	25	19.7	25.3	23.7	46.1	40.3	53	36.2	52.1	33.4	46.3	38.9	34.1	23.2
ABalaa	103	66.4	52	58.4	31.8	48.5	77.6	60.9	48.7	46.1	42.1	50.8	44.4	69.2	62.2	75.9	57.9	78.9	58.6	68.7	60.9	59.6	45.2
ABalaaa	132	97.5	83.6	87.6	60.6	75.9	108.8	92.6	73.8	72.5	67.2	84.2	71.4	96.3	90	103.8	85.4	112.6	88.1	97.7	90.4	89.4	69.6
ABalaaaa	171	137.5	126.4	127.8	97	111.6	149.8	132.2	108.4	108.4	100.8	128.2	106.4	131	126.3	139.8	121.8	156.5	127	132.3	128.1	127.8	104.6
ABalaaaal	239	177.8	170.7	175	139.5	155.7	195.3	179.1	148	150.6	140.3	173.8	148.8	172.8	167	180.9	162	205.4	170.2	173.3	173.4	171.3	144.6
ABalaaaala	324	273.7	262.4	NA	216.7	240.7	292.1	NA	214.6	228.7	206.9	NA	231.5	NA	NA	258.6	248.8	306.8	250	263.4	268.5	248.9	219.4
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	369	265.2	254	258.1	219.7	236.2	283.3	259.8	218.5	223.6	212.1	247.8	223.5	255.1	259.8	257.1	234.7	294.1	247.8	248.1	255.8	248.9	213.2
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	239	179.1	172.1	177.8	142.5	152.7	198.2	179.1	150.6	150.6	144.2	173.8	150.1	174.2	168.2	182.3	163.5	204	171.2	174.7	172.2	175.5	145.9
ABalaaaarl	314	252.5	246.9	252.3	212.2	216.7	271.6	249.5	212.1	219.8	209.5	241.1	219.4	243.7	235.5	247.5	229.1	277.2	245.6	235.6	244.4	241.8	204.4
ABalaaaarla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarr	314	249.7	245.4	261	215.2	224.2	267.2	249.5	215.9	215.9	208.2	243.8	214	242.3	234.5	250.2	230.5	277.2	240.2	242.6	241.9	241.8	205.7
ABalaaaarra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaap	171	134.8	119.5	123.6	91.1	107.2	144	126.3	103.3	103.3	96.9	121.7	102.3	128.3	120.8	134.3	117.6	149.6	122.7	129.6	124.3	123.7	99.7
ABalaaapa	229	176.4	163.9	173.6	132.2	146.9	192.3	170.3	141.6	142.9	135.2	165.8	143.5	168.5	161.5	175.4	160.7	195.6	164.8	170.5	168.4	169.9	138.4
ABalaaapal	284	241.2	227.1	243.7	194.2	206.2	264.2	236.3	199.3	204.4	191.6	230.6	203.4	228.1	226.7	235	222.1	264.6	226.2	231.5	235.5	230.4	193.2
ABalaaapall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapar	294	249.7	245.4	NA	204.7	224.2	274.5	251	205.7	215.9	198	243.8	214	245.1	236.6	248.8	229.1	284.3	244.5	244	247	236.1	204.4
ABalaaaparl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapp	229	176.4	163.9	170.7	133.7	146.9	190.9	171.8	141.6	142.9	135.2	164.5	144.8	171.4	162.7	178.2	159.3	197	166.9	167.8	168.4	168.4	139.7
ABalaaappl	294	249.7	244	258.1	201.7	218.2	271.6	248	206.9	215.9	200.5	239.8	216.8	248	238.8	251.7	227.7	282.8	241.3	232.8	245.7	238.9	204.4
ABalaaappll	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaappr	284	241.2	231.3	255.2	194.2	206.2	271.6	237.8	199.3	201.8	190.3	226.6	208.8	232.3	224.5	239.2	219.3	268.7	226.2	227.3	230.4	230.4	194.5
ABalaaapprl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaap	132	98.9	82.2	87.6	60.6	77.4	110.2	92.6	73.8	72.5	68.5	84.2	69.9	96.3	90	103.8	88.3	111.2	88.1	96.3	90.4	89.4	70.9
ABalaapa	171	134.8	122.3	130.7	95.5	111.6	154.2	130.7	105.9	107.1	102	123	105.1	132.4	128.5	141.3	124.6	155.2	131.4	132.3	128.1	129.2	103.4
ABalaapaa	239	183.4	174.9	182.1	142.5	157.1	207	180.5	146.7	153.1	145.5	168.5	150.1	175.6	174.8	187.8	168.9	205.4	180.9	176	177.2	176.9	145.9
ABalaapaaa	324	269.5	273.7	NA	224.2	NA	NA	NA	219.8	232.6	NA	251.7	231.5	NA	NA	272.5	245.9	308.2	NA	260.6	260.9	257.3	221.9
ABalaapaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaap	319	262.4	258.1	NA	213.7	233.2	292.1	259.8	214.6	221	215.9	241.1	219.4	250.8	NA	265.5	241.8	296.9	259.6	249.6	252	253.1	210.7
ABalaapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapap	239	180.5	170.7	182.1	139.5	155.7	204.1	179.1	146.7	150.6	145.5	168.5	150.1	175.6	172.5	187.8	167.5	205.4	180.9	176	174.7	176.9	144.6
ABalaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapapp	294	245.4	235.6	255.2	198.7	218.2	271.6	249.5	208.2	209.5	203.1	230.6	210.1	235.2	240	253	227.7	274.4	253.2	237	236.8	240.4	200.7
ABalaapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapp	171	130.6	116.8	123.6	91.1	108.7	144	126.3	103.3	103.3	99.5	119.1	102.3	128.3	121.9	135.8	120.3	146.9	120.6	126.9	125.6	122.3	99.7
ABalaappa	239	177.8	167.8	173.6	135.1	154.2	198.2	179.1	144.2	148	141.6	167.2	147.4	172.8	168.2	185.1	163.5	199.9	165.8	169.1	173.4	168.4	142.2
ABalaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappap	294	239.8	239.8	242.3	198.7	222.7	273	249.5	205.7	213.3	201.8	230.6	207.4	243.7	241.1	250.2	227.7	274.4	231.6	232.8	243.2	229	202
ABalaappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappp	224	172.1	158.2	167.8	129.3	145.4	189.4	174.7	140.3	141.6	137.8	160.6	140.8	165.8	160.4	175.4	160.7	191.4	160.5	165	169.6	164.3	137.2
ABalaapppa	314	252.5	239.8	255.2	204.7	224.2	281.8	256.8	213.4	217.2	209.5	237.2	212.7	240.9	258.8	251.7	236.1	281.4	233.8	244	250.8	247.5	205.7
ABalaapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
