Cell	20081128_sulston	20110316_mir-1_L3	20110316_mir-1_L2	20110203_RW10890_pal-1_L4	20110125_RW10890_pal-1_L3	20110125_RW10890_pal-1_L4	20101213_RW10889_pal-1_L2	20101213_RW10889_pal-1_L3	20110209_UP2051_mls-2_L1	20110209_UP2051_mls-2_L2	20110209_UP2051_mls-2_L3	20110225_NX68_L3	20110408_RW10425_pha-4_L2	20110927_RW11144_L4	20110929_ceh-43_L1	20110726_RW10713_L1	20110731_RW10434_L1	20111116_RW10226_L4	20110916_ceh-36_L1	20120426_JIM122_L2	20120612_JIM127_L4	20120331_RW10871_L4	20120807_mir-57_L4
AB	16	23.7	45	37.8	NA	40.7	26.8	31.6	39.8	45.3	49.5	43	45.7	24	30.1	26.2	30.4	24.8	33.7	25.4	33.8	32.7	43.2
ABa	33	33.6	45	39.4	64	40.7	39.7	38.3	39.8	45.3	49.5	43	45.7	38.1	42.3	39.9	39.1	38.7	37.8	40.9	42.6	36	43.2
ABal	51	50.4	53	56.1	64	50	55.6	53.7	55	56.7	56.2	50.6	54.8	55.5	58.6	57	55	54.2	53.3	56.3	59	52.5	54.6
ABala	73	72	73.6	74.5	76.5	70.5	74.8	74.1	73.8	76.2	74.7	71.9	75.4	74.8	76.3	74.2	74.5	74.3	73.1	75.1	78.3	72.1	72.7
ABalaa	103	100.4	102.4	101.7	101.9	100.4	100.2	99.7	102.7	102.4	103.3	101.1	101.4	102.9	102.2	101.5	100.9	102.1	102.7	102.3	103.4	101.5	100.7
ABalaaa	132	136.3	137.3	133.6	136.3	134.1	133	135.2	135.2	135.1	135.4	139.2	135.3	135.8	135	134.8	134.4	137.1	137.5	137.6	137.1	135.9	131.7
ABalaaaa	171	182.6	184.6	177.6	179.7	178	175.9	179.5	180	179.6	178.3	189.5	179.2	177.9	177.9	177.8	178.7	182.6	183.3	179.7	180.2	180.3	176.2
ABalaaaal	239	229.1	233.5	229.2	230.4	232.2	223.6	231.9	231.2	231.9	228.8	241.6	232.4	228.6	226	226.9	227.7	233.4	234.2	229.6	232	230.5	227.1
ABalaaaala	324	339.9	334.7	NA	322.5	336.8	325.1	NA	317.3	328.8	313.9	NA	336.2	NA	NA	319.6	333.4	338.6	328.2	339.2	340.7	320.1	322.2
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	369	330.1	325.4	320.1	326	331.3	315.9	322.2	322.4	322.4	320.5	326.1	326.1	328.4	335.6	317.9	316.2	325.4	325.6	320.5	326.2	320.1	314.3
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	239	230.6	235	232.3	234	228.6	226.7	231.9	234.5	231.9	233.8	241.6	234	230.3	227.4	228.5	229.5	231.9	235.4	231.3	230.7	235.3	228.8
ABalaaaarl	314	315.4	317.6	313.8	317.1	307.3	303.6	310.7	314.1	317.7	317.2	318.5	321	314.6	306.9	306.4	309.4	307.9	323	305.3	313.2	311.9	303.2
ABalaaaarla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarr	314	312.2	315.9	323.3	320.7	316.5	299	310.7	319	312.9	315.6	321.6	314.2	312.9	305.7	309.6	311.1	307.9	316.6	313.9	310.3	311.9	304.8
ABalaaaarra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaap	171	179.4	176.9	173	172.7	172.6	169.8	172.9	173.4	173.3	173.3	182.1	174	174.6	171.4	171.2	173.6	175.5	178.2	176.4	175.9	175.5	170
ABalaaapa	229	227.5	226	227.7	221.7	221.4	220.5	222.1	222.9	222.4	222.3	232.5	225.7	223.4	219.5	220.3	226.1	223.2	227.8	226.2	226.3	228.9	219.2
ABalaaapal	284	302.4	295.7	304.3	295.6	294.4	295.8	295.9	297.5	298.6	294.4	306.5	300.9	295.7	296.5	291.5	300.8	294.8	300.1	300.4	303	298.7	288.9
ABalaaapall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapar	294	312.2	315.9	NA	308.2	316.5	306.6	312.4	305.8	312.9	302.5	321.6	314.2	316.3	308.2	307.9	309.4	315.3	321.7	315.6	316.2	305.3	303.2
ABalaaaparl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapp	229	227.5	226	224.5	223.5	221.4	219	223.8	222.9	222.4	222.3	231	227.4	226.9	220.9	223.6	224.4	224.7	230.3	222.9	226.3	227.1	220.9
ABalaaappl	294	312.2	314.4	320.1	304.6	309.1	303.6	309	307.4	312.9	305.7	317	317.7	319.8	310.8	311.4	307.7	313.7	317.9	301.9	314.7	308.5	303.2
ABalaaappll	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaappr	284	302.4	300.4	316.9	295.6	294.4	303.6	297.6	297.5	295.4	292.7	301.9	307.7	300.8	293.9	296.5	297.4	299.1	300.1	295.2	297.2	298.7	290.6
ABalaaapprl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaap	132	138	135.8	133.6	136.3	135.9	134.4	135.2	135.2	135.1	137	139.2	133.4	135.8	135	134.8	137.9	135.6	137.5	135.9	137.1	135.9	133.4
ABalaapa	171	179.4	180	180.7	177.9	178	180.5	177.8	176.7	178	179.9	183.5	177.5	179.6	180.5	179.6	182.1	181.3	188.5	179.7	180.2	181.9	174.7
ABalaapaa	239	235.6	238.1	237	234	234	235.9	233.5	229.5	235	235.4	235.5	234	232	235.2	235.1	236.1	233.4	246.8	232.8	236.4	236.9	228.8
ABalaapaaa	324	335.1	347.2	NA	331.4	NA	NA	NA	324	333.6	NA	330.6	336.2	NA	NA	336.2	329.8	340.1	NA	335.7	332.1	329.8	325.4
ABalaapaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaap	319	326.9	329.9	NA	318.9	327.6	325.1	322.2	317.3	319.2	325.4	318.5	321	323.2	NA	327.9	324.8	328.3	339.5	322.4	321.9	324.9	311.2
ABalaapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapap	239	232.2	233.5	237	230.4	232.2	232.8	231.9	229.5	231.9	235.4	235.5	234	232	232.5	235.1	234.3	233.4	246.8	232.8	233.5	236.9	227.1
ABalaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapapp	294	307.2	305.1	316.9	301	309.1	303.6	310.7	309	305	309	306.5	309.3	304.3	312.2	313	307.7	305	331.9	307	304.5	310.3	298.5
ABalaapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapp	171	174.6	174	173	172.7	174.4	169.8	172.9	173.4	173.3	176.7	179.1	174	174.6	172.7	173	176.9	172.7	175.8	173.1	177.4	173.9	170
ABalaappa	239	229.1	230.3	227.7	225.1	230.4	226.7	231.9	226.3	228.7	230.5	234.1	230.6	228.6	227.4	231.9	229.5	227.7	229	224.4	232	227.1	224
ABalaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappap	294	300.7	309.7	302.8	301	314.7	305.1	310.7	305.8	309.7	307.4	306.5	305.9	314.6	313.5	309.6	307.7	305	306.5	301.9	311.8	297.1	300.1
ABalaappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappp	224	222.5	219.7	221.3	218.2	219.6	217.4	227	221.2	220.8	225.6	226.5	222.3	220.1	218.2	220.3	226.1	218.8	222.7	219.5	227.7	222.4	217.7
ABalaapppa	314	315.4	309.7	316.9	308.2	316.5	314.3	318.9	315.8	314.5	317.2	314	312.6	311.2	334.4	311.4	317.9	312.2	309.1	315.6	320.5	318.5	304.8
ABalaapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppp	289	287.7	288	284	283.1	287	283.6	294.2	290.8	287.5	291	291.3	289.1	285.4	287.4	284.8	292.3	290.3	290	288.4	295.8	290.5	279.4
ABalaappppa	409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	408.5	NA	405.6	401.6
ABalaappppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalap	103	100.4	100.9	101.7	103.7	100.4	100.2	99.7	102.7	104	103.3	99.6	101.4	101.2	102.2	103.2	100.9	102.1	101.3	102.3	102.1	101.5	100.7
ABalapa	132	133.2	132.7	132	134.5	134.1	131.4	131.9	135.2	135.1	133.7	134.9	133.4	134.1	132.4	133.3	134.4	134.2	134.9	134.3	134.3	134.4	133.4
ABalapaa	171	173.1	174	171.3	176.1	172.6	171.3	172.9	175	174.9	173.3	179.1	175.9	172.8	171.4	171.2	178.7	174.1	176.9	171.4	174.5	173.9	171.5
ABalapaaa	219	225.8	224.3	227.7	228.7	223.1	226.7	227	229.5	228.7	227.3	231	232.4	226.9	226	222	232.8	229.1	231.6	227.9	230.7	228.9	227.1
ABalapaaaa	339	NA	347.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	347.8	NA	354.7	NA	342.6	353.8	344.5	339.8
ABalapaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaap	289	297.5	302	299.6	304.6	299.9	302	302.5	300.8	297	292.7	300.4	304.2	297.4	300.4	294.8	304.2	300.6	301.3	303.6	303	301.9	296.9
ABalapaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaap	220	220.9	222.6	223	225.1	221.4	223.6	225.3	226.3	222.4	222.3	226.5	225.7	223.4	219.5	218.6	231.1	223.2	226.5	221.2	230.7	225.6	222.4
ABalapaapa	319	307.2	319.1	313.8	318.9	320.2	317.4	NA	319	319.2	317.2	318.5	317.7	330.1	339.6	314.6	323.1	312.2	321.7	315.6	346.6	318.5	311.2
ABalapaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaapp	284	282.7	289.4	291.9	288.5	288.8	291.2	297.6	292.5	284.3	287.7	289.8	295.9	292.2	293.9	286.6	295.7	290.3	288.6	286.7	297.2	292.1	287.4
ABalapaappa	394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	406.8	NA	408.8	409.5
ABalapaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapap	171	168.2	169.3	169.8	170.9	170.9	166.7	167.9	171.7	171.7	170.1	174.6	170.8	171.1	168.8	167.9	170.2	169.9	173.1	168.1	173	172.4	168.3
ABalapapa	220	220.9	224.3	227.7	223.5	221.4	222.1	227	224.6	222.4	219.1	229.5	227.4	225.2	222.2	220.3	227.7	223.2	229	222.9	230.7	225.6	222.4
ABalapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapap	284	284.3	288	290.2	286.7	287	289.7	292.7	290.8	287.5	281.2	288.3	292.4	292.2	291.2	283.1	297.4	287.4	293.8	290.1	300.2	290.5	285.7
ABalapapapa	404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	411.9	NA	389.1	401.6
ABalapapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapp	214	214.4	215	218.3	218.2	217.7	212.8	217.2	219.7	217.6	219.1	220.5	219.1	218.4	215.7	213.7	216	215.9	220.3	212.9	222	220.9	216
ABalapappa	279	273	275.4	274.6	276	279.6	279	279.5	280.8	276.3	282.8	283.8	277.4	280.3	273	271.6	273.6	277.2	278.6	271.6	284.2	280.8	277.8
ABalapappaa	394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	391.6	NA	404	401.6
ABalapappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappp	289	290.9	289.4	293.4	290.3	294.4	291.2	292.7	297.5	293.8	295.9	298.9	297.5	297.4	288.6	288.1	290.6	293.4	293.8	285	303	297.1	284.2
ABalapapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapp	132	133.2	135.8	132	134.5	132.2	131.4	130.2	135.2	135.1	133.7	134.9	133.4	134.1	132.4	134.8	134.4	134.2	134.9	135.9	134.3	134.4	131.7
ABalappa	171	181.1	181.6	176	177.9	172.6	174.5	172.9	178.3	178	178.3	182.1	177.5	177.9	172.7	177.8	178.7	177	178.2	178	175.9	177.1	176.2
ABalappaa	239	237.2	239.8	241.7	241	237.7	235.9	235.2	237.8	239.8	240.3	241.6	242.3	235.5	232.5	235.1	237.8	237.8	236.6	236.2	239.2	238.6	236.6
ABalappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaap	339	339.9	345.6	NA	343.9	333.1	NA	NA	NA	325.7	NA	NA	NA	NA	NA	327.9	340.2	345.9	339.5	342.6	334.9	338.1	335
ABalappaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappap	224	227.5	228.8	229.2	226.9	223.1	222.1	223.8	226.3	225.5	227.3	231	229	226.9	218.2	226.9	227.7	224.7	225.2	226.2	227.7	225.6	228.8
ABalappapa	329	333.4	344.1	NA	336.8	338.7	325.1	NA	312.4	312.9	307.4	NA	NA	NA	NA	337.9	317.9	337.1	344.5	330.8	346.6	338.1	328.6
ABalappapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapp	289	295.9	294.2	302.8	297.4	287	288.2	289.3	294.2	295.4	299.2	298.9	295.9	294	283.4	291.5	294	290.3	292.5	291.8	295.8	292.1	295.3
ABalappappa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappp	171	171.5	172.4	169.8	170.9	169	166.7	166.4	173.4	173.3	171.8	174.6	170.8	169.5	168.8	169.6	170.2	169.9	173.1	171.4	171.6	170.8	168.3
ABalapppa	220	217.7	218.2	219.8	216.4	216	212.8	217.2	218	217.6	217.4	221.9	219.1	218.4	215.7	215.3	217.7	215.9	220.3	217.8	222	217.7	217.7
ABalapppaa	304	295.9	295.7	304.3	290.3	288.8	291.2	289.3	294.2	290.7	294.4	294.4	294.3	297.4	292.6	294.8	288.9	291.8	302.7	295.2	295.8	297.1	288.9
ABalapppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppap	284	281.1	283.2	288.7	279.5	283.3	275.8	284.4	279.3	279.6	281.2	286.8	285.8	287.1	282.1	281.6	282.1	283.1	283.6	285	290	282.4	282.6
ABalapppapa	404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	405.1	NA	394.1	401.6
ABalapppapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppp	214	219.3	218.2	215.1	218.2	216	212.8	213.9	219.7	217.6	217.4	221.9	220.7	216.7	214.4	215.3	216	215.9	220.3	216.2	224.8	219.2	217.7
ABalappppa	279	276.4	277	274.6	281.3	275.9	274.4	274.6	279.3	281.2	279.5	280.8	280.7	276.9	271.7	274.9	271.9	274.3	279.8	271.6	287	280.8	277.8
ABalappppaa	394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	398.4	NA	389.1	408
ABalappppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppp	289	286	292.5	287.2	293.8	290.7	289.7	286.1	287.6	289.1	286.2	294.4	295.9	290.5	287.4	288.1	287.2	293.4	290	288.4	294.3	290.5	287.4
ABalapppppa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalp	73	72	73.6	74.5	76.5	70.5	74.8	72.4	73.8	76.2	74.7	71.9	75.4	74.8	76.3	74.2	72.6	74.3	73.1	75.1	76.8	72.1	72.7
ABalpa	103	98.8	100.9	101.7	101.9	100.4	100.2	99.7	102.7	102.4	103.3	99.6	101.4	102.9	100.8	101.5	100.9	102.1	102.7	102.3	103.4	99.9	100.7
ABalpaa	132	131.6	132.7	130.3	130.9	134.1	131.4	131.9	133.5	133.5	133.7	131.8	133.4	134.1	132.4	133.3	132.7	134.2	133.6	132.6	134.3	132.8	131.7
ABalpaaa	171	177.7	176.9	174.5	172.7	174.4	171.3	176.1	175	178	178.3	179.1	175.9	179.6	172.7	174.6	178.7	178.5	178.2	178	177.4	178.6	176.2
ABalpaaaa	234	230.6	228.8	232.3	228.7	228.6	226.7	233.5	227.9	235	233.8	232.5	227.4	232	227.4	230.2	234.3	233.4	235.4	229.6	236.4	235.3	228.8
ABalpaaaaa	319	304	302	313.8	306.4	303.6	294.4	313.9	304.1	309.7	305.7	306.5	297.5	318	306.9	303	304.2	309.3	310.3	303.6	311.8	311.9	298.5
ABalpaaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaap	319	315.4	309.7	318.6	315.3	314.7	309.7	317.3	314.1	320.8	315.6	318.5	305.9	326.6	318.7	309.6	314.6	329.9	323	310.4	326.2	323.3	306.3
ABalpaaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaap	234	229.1	227.3	229.2	226.9	226.8	223.6	228.7	227.9	230.3	233.8	232.5	227.4	232	224.8	225.2	234.3	229.1	231.6	231.3	232	233.7	228.8
ABalpaaapa	344	313.8	311.3	NA	317.1	311	302	315.6	309	312.9	318.9	312.5	309.3	318	316.1	304.7	317.9	316.7	319.2	315.6	319	323.3	309.6
ABalpaaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
