series	offset	slope	ABala	ABalp	ABara	ABarp	ABpla	ABplp	ABpra	ABprp	E	MS	C	D
20081128_sulston	0	1	1	1	1	1	1	1	1	1	1	1	1	1
20110316_mir-1_L3	-20.5	0.865	0.859	0.841	0.83	0.861	0.879	0.881	0.887	0.887	0.85	0.84	0.901	0.925
20110316_mir-1_L2	-40.8	0.905	0.91	0.884	0.889	0.914	0.904	0.918	0.916	0.924	0.854	0.877	0.928	0.926
20110203_RW10890_pal-1_L4	-34.5	0.914	0.913	0.915	0.912	0.906	0.922	0.967	0.933	0.919	0.878	0.865	0.898	0.978
20110125_RW10890_pal-1_L3	-53.7	0.838	0.824	0.816	0.843	0.847	0.833	0.846	0.853	0.854	0.836	0.828	0.847	0.861
20110125_RW10890_pal-1_L4	-33.1	0.812	0.815	0.783	0.786	0.829	0.809	0.847	0.827	0.823	0.797	0.804	0.837	0.848
20101213_RW10889_pal-1_L2	-18	0.953	0.934	0.911	0.943	0.926	0.972	0.988	0.996	0.985	0.912	0.923	0.983	0.99
20101213_RW10889_pal-1_L3	-28.2	0.893	0.889	0.881	0.883	0.87	0.884	0.946	0.916	0.921	0.859	0.858	0.891	0.953
20110209_UP2051_mls-2_L1	-30.7	0.773	0.753	0.742	0.76	0.752	0.774	0.804	0.801	0.798	0.755	0.748	0.787	0.85
20110209_UP2051_mls-2_L2	-36.5	0.806	0.785	0.791	0.789	0.785	0.829	0.836	0.829	0.829	0.766	0.785	0.806	0.834
20110209_UP2051_mls-2_L3	-38.7	0.782	0.756	0.771	0.772	0.758	0.787	0.81	0.794	0.794	0.731	0.758	0.791	0.832
20110225_NX68_L3	-37.6	0.875	0.864	0.86	0.845	0.86	0.894	0.905	0.9	0.887	0.861	0.831	0.9	0.916
20110408_RW10425_pha-4_L2	-36.4	0.796	0.801	0.772	0.771	0.783	0.793	0.81	0.824	0.815	0.751	0.779	0.823	0.824
20110927_RW11144_L4	-15.6	0.824	0.822	0.802	0.794	0.821	0.819	0.834	0.839	0.848	0.805	0.794	0.877	0.841
20110929_ceh-43_L1	-24.3	0.846	0.847	0.841	0.807	0.862	0.853	0.878	0.88	0.876	0.833	0.818	0.872	0.908
20110726_RW10713_L1	-9.1	0.837	0.823	0.796	0.8	0.848	0.828	0.842	0.88	0.86	0.867	0.841	0.895	0.874
20110731_RW10434_L1	-24.9	0.821	0.804	0.794	0.806	0.813	0.828	0.838	0.846	0.843	0.813	0.802	0.846	0.87
20111116_RW10226_L4	-19.5	0.963	0.963	0.934	0.954	0.967	0.969	0.994	0.987	0.977	0.88	0.94	0.965	0.993
20110916_ceh-36_L1	-28.6	0.849	0.851	0.833	0.839	0.841	0.832	0.848	0.866	0.872	0.821	0.826	0.864	0.892
20120426_JIM122_L2	-15.4	0.822	0.819	0.797	0.809	0.818	0.832	0.827	0.831	0.819	0.844	0.826	0.856	0.86
20120612_JIM127_L4	-29.6	0.874	0.885	0.858	0.853	0.851	0.871	0.899	0.891	0.89	0.863	0.865	0.899	0.877
20120331_RW10871_L4	-28.3	0.866	0.851	0.848	0.856	0.847	0.871	0.858	0.876	0.856	0.878	0.873	0.896	0.883
20120807_mir-57_L4	-34	0.786	0.778	0.774	0.772	0.771	0.784	0.787	0.79	0.791	0.814	0.779	0.816	0.839
