"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"AB","AB",0.0649554086595928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0282793172537679,NA,NA,0.0349115235088187,NA,0.016035838286691,NA,0.0271113198636184,NA,NA
"ABa","ABa",0.13490462822725,0.0664828903681738,NA,NA,NA,NA,NA,NA,NA,NA,0.0920073963600608,NA,0.119615160890014,0.0831569375049816,0.0902359572185642,0.0747511411024636,0.0890294375087211,0.11105278244341,0.0566280178949868,0.139855592855431,0.281228409752208,NA
"ABal","ABal",0.0405181170655153,0.0973555017324839,NA,0.137139619889777,0.0662865034577635,0.0767825207545734,0.166806887086918,0.148765699324623,0.188826558489912,0.180026842592453,0.0772996931360081,0.138014197272647,0.0601843734469577,0.125080174848522,0.0854852745413612,0.0951148063573899,0.11965690054979,0.0967960465976595,0.0709638275424493,0.125914757292924,0.108246333931781,0.146702227305316
"ABala","ABala",0.10379009153418,0.0869865879893134,0.10821639449682,0.0914802938706197,0.068845967100397,0.08504555556132,0.113029455763403,0.0898721038984185,0.0909861921934814,0.0707513897623426,0.0796503332034709,0.0678858883702771,0.132745207781075,0.0769983832219026,0.0887694983968623,0.0950443680933256,0.120226536444842,0.0687289312631219,0.0945668699603582,0.134020807317166,0.0676368577097531,0.106921050904117
"ABalaa","ABalaa",0.133384944147381,0.163849013476147,0.119572806462845,0.117074900866136,0.149178750783799,0.187297129989508,0.135110453949715,0.158255875108286,0.170134080687573,0.126146649164399,0.135687023427106,0.138839777972249,0.139937905073655,0.12125268155601,0.154636431071821,0.128620697451972,0.160348670464815,0.110997623464823,0.166105310549551,0.1927205577154,0.15071799773402,0.151927132239155
"ABalaaa","ABalaaa",0.235314742072746,0.207252673356228,0.131604226232248,0.189610844056552,0.281657679991769,0.195625366201205,0.207475085758122,0.202977523471899,0.237149299302912,0.181290550482209,0.19692822660069,0.205444641648525,0.301541325842703,0.175454919275069,0.208962422379193,0.206062729378205,0.206678009942282,0.181676223698916,0.242186653680323,0.314616555600631,0.14349220067037,0.195008063943146
"ABalaaaa","ABalaaaa",0.436020245389774,0.357006233876242,0.273628220759445,0.330001923434846,0.308223430910694,0.323546299056848,0.349911856418794,0.348299612994466,0.40333437879842,0.324780714522426,0.311464354487931,0.297148463714786,0.286698552134774,0.315699942547643,0.257720215602961,0.256664134833401,0.340023562606148,0.308982666923767,0.368269402364574,0.506574678813061,0.272580841121492,0.422269436085149
"ABalaaaal","ABalaaaal",0.343806058977333,0.332575992251591,0.290711441447603,0.438798894192985,0.417520201062648,0.329812667831729,0.485204300191592,0.445335693676057,0.337238862504508,0.430788255212385,0.3136036937705,0.298670912436574,0.336942111777467,0.288366705088746,0.310365211746821,0.277704472603753,0.349307538638591,0.554952060286476,0.383519569487302,0.322767697692903,0.312425356483938,0.515370942820921
"ABalaaaala","ABalaaaala",0.409316975925677,0.380515681009659,0.394589853790504,0.39660905685206,0.464111310013349,0.481067581689918,0.341060416444928,0.465522622285714,0.482743415020235,0.398931202551505,0.323318595985703,0.417817892830064,0.378987763820981,0.374877235197962,0.35740070924961,0.375835326812777,0.400601676016529,0.559506764788778,0.398335713412989,0.370717071786236,0.448941980074425,0.442877704751506
"ABalaaaalal","ABalaaaalal",NA,NA,0.641638468109728,NA,NA,0.557880380544426,NA,0.478858656538104,NA,0.488852325539222,NA,NA,0.660582763186126,0.508220118336162,0.492133235038671,NA,NA,0.593735005377588,0.663032008915161,0.656817605471572,0.515420628652766,0.516346755840532
"ABalaaaalar","ABalaaaalar",NA,NA,0.511901377694012,NA,NA,0.468365168087965,NA,0.591923616015367,NA,0.653944939126742,NA,NA,0.522541046313586,0.476778518899835,0.495936434099774,NA,NA,0.65325696768904,0.762701472562744,0.663243423137737,0.5957060770694,0.597911155370341
"ABalaaaalp","ABalaaaalp",0.379094115150922,0.496862354869283,0.45520286046687,0.425905246002313,0.583200620386701,0.509125368183495,0.430701361930245,0.436336128235893,0.438212727640277,0.378600291379419,0.311453144300138,0.432034101068461,0.389737087519541,0.357196098881267,0.362673645047183,0.320288649487667,0.378348074029751,0.380078796477307,0.398857080826272,0.331607304718806,0.445710440768724,0.382513896603399
"ABalaaaalpa","ABalaaaalpa",0.389780914646496,NA,0.416697512249401,0.489035135432196,NA,0.367664448054261,0.335940650319788,NA,0.337567889522733,0.638983340467441,0.465629717167693,0.533893980213356,0.44612367577523,0.364439288830767,0.533531224441516,NA,NA,0.492790317178114,0.452793448158902,0.475410021915695,0.513503001929868,0.408575169729404
"ABalaaaalpp","ABalaaaalpp",0.415674613944221,NA,0.450446522587895,0.521897670788773,NA,0.479003890252071,0.383364009240524,NA,0.36715281707023,0.501411232966619,0.436158534851412,0.513268199105421,0.532295229708982,0.373343683729616,0.462343793141635,NA,NA,0.513511036744346,0.423555440771829,0.328575363939348,0.448502195686682,0.47976087571869
"ABalaaaar","ABalaaaar",0.323726758223386,0.350696447720622,0.27531993613638,0.325473428910124,0.334201304785381,0.345444434981598,0.337636562033571,0.312166283495725,0.375319148737513,0.378200652753392,0.258639425722975,0.316934714442665,0.287021103819946,0.295281880484893,0.264962054319156,0.282248269823726,0.290809174972736,0.33123550784204,0.261532692785149,0.334959527114862,0.285266832888251,0.37275966500964
"ABalaaaarl","ABalaaaarl",0.39324757390449,0.396344642857011,0.337509343621121,0.41520320671382,0.387271670415144,0.393196713630854,0.371456629150222,0.341956601927065,0.474966731831581,0.336340474379923,0.387703640958698,0.363935249687878,0.332871237454783,0.469501784370147,0.333477639679964,0.313740520156823,0.32642932565936,0.467893033095311,0.366938718943687,0.351490086913301,0.33503236309054,0.429946898440168
"ABalaaaarla","ABalaaaarla",0.504158110719149,0.784761773719214,0.439799561559497,0.384312187503286,0.461363774460253,0.75705856757132,0.455755461120048,0.442448206362942,0.402618270195303,0.546202317877028,0.412181148590948,0.47701108674278,0.502958805937835,0.630256009640929,0.481433711305489,0.303573335124113,0.785431655128256,0.545077312393631,0.535785663106639,0.488589842622769,0.512178583075954,0.473643547355595
"ABalaaaarlp","ABalaaaarlp",0.578591679318188,0.425981739347813,0.53593485998835,0.392554437001001,0.382739557148826,0.413463540076913,0.518050501983255,NA,0.702067673209977,0.529344188603099,0.50017262210799,0.377794499092061,0.478827796952842,0.478774232174221,0.426545241129894,0.332635393426001,0.64092872746053,0.508441845599554,0.552202919047903,0.405947650611672,0.543641629761211,0.480796706273969
"ABalaaaarr","ABalaaaarr",0.632568564707267,0.410993728992272,0.37237093815656,0.420806435697841,0.392922047415804,0.446107231879972,0.365319005071586,0.406310054539408,0.422646008252799,0.485020070536581,0.436222421884318,0.463530050357301,0.292637413561219,0.392685791021587,0.507855921925542,0.300757806186078,0.357476704209523,0.42400962822515,0.36388276501924,0.364962863622207,0.406869926549689,0.342267455826339
"ABalaaaarra","ABalaaaarra",0.628494934938087,0.544096725733333,0.539975121699823,0.45317102877079,NA,0.593804478148809,0.610720127567704,0.697455611523704,0.475279085159833,0.46092856855881,0.470729745676816,0.550251386801805,0.461438746606184,0.466780753906549,0.51523125875157,0.383592692905971,0.636258558466593,0.380858429000614,0.524495964286226,0.422442543351915,0.568232728160397,0.536362266374173
"ABalaaaarrp","ABalaaaarrp",0.59331727436861,0.426138867657494,0.525338252514728,0.37842683409638,NA,0.497426056908913,0.373656947796387,0.422357447611344,0.618025630367946,0.408345924442167,0.640382572171753,0.408740655530215,0.516441237497434,0.427577846846451,0.668127758025599,0.525926073863224,0.530962527303939,0.49522275533167,0.507101783853501,0.470171708875452,0.671857982497752,0.458606781567936
"ABalaaap","ABalaaap",0.33165388499732,0.337337304248358,0.348388165903755,0.376108720513903,0.258794985333536,0.309561285691888,0.324197401540151,0.336962134708786,0.330891688673836,0.289286749024481,0.330277980484986,0.316183172340767,0.343893496514884,0.308306882090332,0.276215559642784,0.259611573924974,0.280556524792196,0.278484984894497,0.366248241588582,0.470587315748636,0.361671347566359,0.395427120961422
"ABalaaapa","ABalaaapa",0.277189752991616,0.288203811558394,0.294738832543729,0.338023058585002,0.313321311768484,0.3582640181606,0.417134618119354,0.320256324151765,0.310139783950987,0.293392523671348,0.279902877428382,0.296332839015922,0.263593341596516,0.314278004893786,0.272274952722759,0.322026045528142,0.316427874710061,0.328621703591736,0.33968962292673,0.306717681589939,0.284049596687779,0.415460131517898
"ABalaaapal","ABalaaapal",0.326093691391979,0.421992911419913,0.365567889123574,0.357688464028019,0.453775362084878,0.509051758320407,0.41518316229086,0.374522078183927,0.443062083667609,0.380538976984479,0.434928188916192,0.371762120048326,0.335758523628412,0.397077138290356,0.305429880689527,0.323955572574485,0.391040925547687,0.393496169190528,0.364468194453809,0.310673605923057,0.380712313061042,0.420949832849016
"ABalaaapall","ABalaaapall",0.395361246375565,0.483559815458946,0.424617864991042,0.459907364836962,0.538108410321609,0.434442324506923,0.51290767571919,0.528165600378361,0.582439246456011,0.536927683488742,0.395583533572722,0.395309288522668,0.457417000324688,0.650438037190218,0.38515098683482,0.365688946631411,0.426592479349685,0.468841705570698,0.527259059545538,0.4851317837571,0.413911294103742,0.420041181977933
"ABalaaapalr","ABalaaapalr",0.453379651960108,0.36319809303174,0.389444726471553,0.439648499972678,0.444586519882453,0.404446977023509,0.494015008734839,0.398603362681814,0.669137442332074,0.451341905394204,0.403197433706275,0.628032818701275,0.510113506945511,0.54340707463469,0.532126215117866,0.445985084102783,0.549440591016145,0.489373227642017,0.465041295820257,0.391802899155281,0.434131422247187,0.523833030436092
"ABalaaapar","ABalaaapar",0.429728266700657,0.373188310844403,0.445956063131307,0.369625342317474,0.448989219557157,0.454936565007092,0.421649428123464,0.37940225424703,0.416642278145518,0.44868852746416,0.33569234118182,0.395205063285689,0.346424908861703,0.458588845071921,0.386743681390444,0.360236501017752,0.420494618393521,0.370393636749986,0.497963476945286,0.382970544162889,0.407780881066146,0.395111557963307
"ABalaaaparl","ABalaaaparl",0.509792957694798,0.519366083119471,0.414589547212444,0.378241034122043,NA,0.32056321786107,0.366086920949196,0.545628443581648,0.512706809973603,0.409386200263781,0.356962022555976,0.359764750700847,0.5014358471299,0.453367824391842,0.404682098462168,0.412093406617266,0.653698642043548,0.527336632200549,0.698569203462224,0.557553494958588,0.476264941049843,0.411949621250113
"ABalaaaparr","ABalaaaparr",0.587953016239697,0.496307543265839,0.579789723241566,0.42945748861026,NA,0.522426286385166,0.417193613519317,0.653357367750092,0.417047109725024,0.510365198734053,0.393580409820027,0.334622141570618,0.498203744926103,0.432964095814849,0.424079955601102,0.378674095739852,0.466005777242599,0.695963491164572,0.567111377811146,0.425071794669846,0.378070443069486,0.550267874567174
"ABalaaapp","ABalaaapp",0.327187166942159,0.290611806406677,0.287564660026781,0.415322240352062,0.407765468320602,0.447334017972672,0.428149235815735,0.369202084078239,0.382585972166554,0.413636395496064,0.28228453837653,0.304391112322086,0.304992651490317,0.416541044634422,0.30470690557624,0.298966551128211,0.342189324375662,0.376050287003434,0.299341735591391,0.35877783580561,0.276774419441827,0.371375858137974
"ABalaaappl","ABalaaappl",0.476128051357563,0.476484801880551,0.450354081998025,0.342973665610407,0.432076060781579,0.403200976534932,0.485816218919118,0.43957577074717,0.453919687622697,0.428632548740157,0.410766137452854,0.390536363676169,0.338745911170073,0.402273937505829,0.517359204889873,0.304451913823791,0.430257265736704,0.376612738637846,0.38414135543787,0.369645121553779,0.362466102984605,0.429644685342253
"ABalaaappll","ABalaaappll",0.634619811876825,0.323332740292304,0.521575366612543,0.426719750294244,NA,0.453272808053923,0.367238799895368,0.540702461528164,0.471848078222871,0.413650562709441,0.271356596588344,0.329633428947809,0.498855824000769,0.445046018292101,0.533522502033535,0.424534546898649,0.445158639797979,0.49798421168435,0.545219444473549,0.447995408725554,0.438914395017774,0.528796466715924
"ABalaaapplr","ABalaaapplr",0.59491011650914,0.28224889522482,0.478955853440211,0.541096953510217,NA,0.459212977364941,0.364775966603299,0.505072530090332,0.416306360484267,0.33353906276041,0.269153961748595,0.4003112330115,0.481492744832107,0.513692011486216,0.406841943867955,0.377858048513121,0.437212555824644,0.406633843373887,0.497672006267791,0.472152763403599,0.371064846793228,0.471716214433537
"ABalaaappr","ABalaaappr",0.423682463712679,0.412141643519243,0.384339195937664,0.401206351803557,0.448909994430119,0.451067549696294,0.335102731622381,0.489432647332895,0.487587088348433,0.499249075626977,0.411716579124432,0.476955119170016,0.320299074680019,0.50544054512907,0.439492655304589,0.408427176651647,0.410581872831261,0.36058508959309,0.36631994655439,0.36265112390927,0.431945868261196,0.39560364743248
"ABalaaapprl","ABalaaapprl",0.623780419952889,0.390361211934579,0.435224713248334,0.450468821313138,NA,0.557436160632011,0.475021548331728,0.677697694913462,0.509821632008005,0.464418991895892,0.434370953774405,0.470733637138595,0.418718298901803,0.474118750459496,0.559984467974152,0.373834563685043,0.492945142472493,0.458757095688475,0.463889558268534,0.485515477514911,0.583903219991728,0.474793129553923
"ABalaaapprr","ABalaaapprr",0.520481450849184,0.429187225249805,0.489951761040633,0.398764205494345,NA,0.698189524770706,0.41723859481031,0.921482656731903,0.5215963284557,0.547617975930322,0.471906289890887,0.471505266263885,0.600430258789794,0.40559120694805,0.437712253628273,0.284835558398257,0.434047652043553,0.546594742085105,0.536751764844977,0.404534950400583,0.57457550117268,0.469580921163409
"ABalaap","ABalaap",0.2421855757499,0.2531320562579,0.183848287939102,0.20755225845524,0.209060145872174,0.247041000570628,0.252500249968871,0.318033349351674,0.33246011342585,0.265673549775533,0.273744849528565,0.232846376156014,0.273418817575866,0.208781939616082,0.317456976951476,0.210448256159693,0.26784210069068,0.212106855754322,0.300591948103011,0.423564381076289,0.212794941853036,0.227855484629245
"ABalaapa","ABalaapa",0.444807697717255,0.395882981081193,0.298523613413547,0.418788519705746,0.327528819959547,0.370783561976799,0.345302486687005,0.422254867725753,0.462429182563372,0.345136376300769,0.422869485762366,0.310313316037709,0.348657329434959,0.324147082405172,0.355544773032143,0.269312915696824,0.378113378928357,0.327113804071958,0.338864358774882,0.441167639366155,0.34779012180236,0.418185399889651
"ABalaapaa","ABalaapaa",0.337125351483496,0.274586530099628,0.341954266422393,0.362249156703551,0.253526235764579,0.501167322330823,0.406318214787611,0.385850747351493,0.418200656362892,0.41121561353175,0.334339835260319,0.370766023554172,0.294153335983318,0.38260413252977,0.406453526189034,0.293910111883168,0.321348805594143,0.397481063574641,0.323893090402308,0.349321454210381,0.30044407030227,0.316639525970706
"ABalaapaaa","ABalaapaaa",0.501171226783999,0.404556693751352,0.377480949984799,0.631207427710066,0.423108392125976,0.530319440346407,0.43166544389593,0.458464542564518,0.394564525924659,0.6850605278988,0.371498544763322,0.488826163519208,0.337229385489234,0.467374246189697,0.55196109615775,0.353840649536994,0.547873167570285,0.412415667458168,0.377024257881609,0.419226536742769,0.406685085711581,0.438101871416078
"ABalaapaaal","ABalaapaaal",NA,NA,NA,NA,NA,0.707226718902522,NA,NA,NA,0.924407836065283,0.481366653432247,NA,0.766109872433878,0.458271822859482,NA,NA,NA,0.582373427876785,0.493715419113064,0.672040021004253,0.641141919658615,0.625795580750344
"ABalaapaaar","ABalaapaaar",NA,NA,NA,NA,NA,0.600379902201595,NA,NA,NA,NA,0.478541390897129,NA,0.56660288795261,0.417870093932556,NA,NA,NA,0.535327574959537,0.473708413484021,0.442711703681667,0.406033164626379,0.45012620527581
"ABalaapaap","ABalaapaap",0.428314402185172,0.385152357574788,0.430845317280308,0.590918248589846,0.399062428931531,0.632720752584993,0.441353391875055,0.498060975831568,0.434237336262765,0.503196226620784,0.419350617365377,0.471895942157882,0.370534937174072,0.388613651653009,0.476407914549599,0.305067349704456,0.428800417212676,0.349449022409952,0.37146117098657,0.351714438369912,0.375149806426441,0.353039053530477
"ABalaapaapa","ABalaapaapa",NA,NA,0.53262205256807,0.384932282252219,NA,0.469238701298615,0.601351169946243,NA,0.449242351183806,0.384520032112142,0.574357671643457,0.796230437571174,0.585310701480221,0.453936475031476,NA,0.36424297601518,NA,0.44147758750952,0.502956078699734,0.51531273806085,0.333502057254606,0.495908756388576
"ABalaapaapp","ABalaapaapp",NA,NA,0.553778467011826,0.525291716631522,NA,0.641032803976376,0.465200249100047,NA,0.485178125225956,0.485399146009508,0.442373449659585,0.497996109131324,0.695414466834987,0.442271120476774,NA,NA,NA,0.489504350851328,0.452288608639986,0.499809726658528,0.440159311306399,0.402546262268002
"ABalaapap","ABalaapap",0.396528484209354,0.378181079262492,0.378531343614504,0.408979986958328,0.364664292035514,0.4672885919701,0.373674508375971,0.383316841267254,0.336053091361078,0.368288017910532,0.370389183443388,0.421444075463414,0.277444783764414,0.427495098622962,0.384258508836239,0.284375138671523,0.39777122427009,0.335960745297398,0.358517711828006,0.320608976347425,0.347585420788011,0.367792244587113
"ABalaapapa","ABalaapapa",0.442185590608838,0.598417992755847,0.512985658363625,0.660883881797746,0.418293503237209,0.757881378610598,0.609575057610663,0.571290648517206,0.486987932051883,0.463724004069612,0.317679521287033,0.356671555347021,0.469716805313486,0.629548034739956,1.08311837867257,0.384397041709855,0.438949606944618,0.509617851502522,0.542387472715451,0.516749884046017,0.36599747554494,0.53177640100511
"ABalaapapp","ABalaapapp",0.475078146404403,0.426155241847796,0.430492972794383,0.518310477012767,0.436412964630067,0.508594076177445,0.51101876260306,0.542976164329981,0.473586437273023,0.412869595875627,0.31564157806494,0.473367187222368,0.279962583174637,0.389645049427965,0.517807020766445,0.296981885366833,0.477318535433481,0.384307715430308,0.325556021202965,0.353161614306249,0.35354236311143,0.429150723079095
"ABalaapappa","ABalaapappa",0.445358668584858,0.595481932193085,0.518815406318617,0.677670094993162,NA,0.58153740453837,0.763227388511768,0.952729744891719,0.517430108050683,0.497149637499127,0.548642374591772,0.439678745977994,0.868671168738731,0.436507580275607,0.891907547318603,0.437059717888852,0.533323422698292,0.477243463225904,0.548265145324145,0.65426310060139,0.602523004505229,0.621962679688508
"ABalaapappp","ABalaapappp",0.406237499911674,0.515733306270985,0.501143434245401,0.451356971946778,NA,0.571269525405117,0.532141475078688,0.591449053609044,0.456398965992302,0.305416496310912,0.352798695034511,0.642975416287172,0.614179634089538,0.415818604564666,1.08521543161028,0.260104591215448,0.551108819343759,0.670249182895311,0.450886304630849,0.484041534452094,0.481764802450168,0.579650079238592
"ABalaapp","ABalaapp",0.407598477127721,0.384580579278272,0.345039717344936,0.385854211654542,0.412595678875057,0.405491606573657,0.440819736088231,0.3965891623748,0.406830764786305,0.38323539361709,0.37523926596777,0.377516607801311,0.361324671447067,0.396714000004507,0.390853459080155,0.342637264788385,0.40385397530877,0.34110393119925,0.424382542984164,0.361433854258745,0.387935753381521,0.411533578197828
"ABalaappa","ABalaappa",0.438739341903617,0.387385272652773,0.346878541905861,0.389614615801509,0.353339791363862,0.39096315904635,0.398160375310823,0.456350129142941,0.408969960567482,0.411844340978869,0.340406420615909,0.396763604148199,0.306021764416814,0.359869504208868,0.483118356272797,0.352765035895571,0.400480278792996,0.397282626173794,0.346875808994864,0.340270314475142,0.341659716414135,0.409551509825146
"ABalaappaa","ABalaappaa",0.536840522174043,0.510047278853681,0.507537120300754,0.457838947244026,0.59846261137695,0.590931856212804,0.595426309994429,0.994739142673574,0.618624897112461,0.673000948955539,0.319688674869632,0.483117163385659,0.45414768413523,0.463557206207608,0.619067407348219,0.370907176692376,0.432491372034831,0.409316003683058,0.355956828281463,0.529328086645729,0.378775547002955,0.436707565998449
"ABalaappap","ABalaappap",0.454607621622025,0.488778005770874,0.36833773165961,0.510513265215197,0.468388232258693,0.53783734933958,0.488190095819206,0.607277052373443,0.566371377777133,0.49483731798357,0.379056341452481,0.568709016953309,0.390001634887792,0.434941213728869,0.587105356100516,0.353828552541289,0.384264312104124,0.42522892663539,0.479707287866705,0.451800267734897,0.402591069932025,0.348970777523123
"ABalaappapa","ABalaappapa",0.562575318397723,0.594054150741782,0.523900332665779,0.891271721691664,0.394825631418893,0.676388076372728,0.570285845250861,0.575740927010833,0.598008018871755,0.385659416818556,0.354740129110118,0.555391053000584,0.574072867020445,0.529925459214985,0.500208119559094,0.469633529221674,0.483832934750203,0.448136517046379,0.457871978647184,0.385308627067076,0.410728692084143,0.413901853188576
"ABalaappapp","ABalaappapp",0.593685070232285,0.468150756274595,0.502215634988087,0.605118465435535,0.316833229309627,0.697254016320532,0.669150339948029,0.667670584372598,0.617541678687464,0.380558164629704,0.350044607535195,0.777697424814365,0.591680144903571,0.38574634968067,0.57474327611745,0.375389304580303,0.505014780921423,0.521471873981514,0.497082144611029,0.44310770731532,0.378924189405685,0.467142365685454
"ABalaappp","ABalaappp",0.448405457751923,0.340499677451087,0.307362701264487,0.467650686947324,0.328571974493409,0.457121773386225,0.456423359539581,0.418888601123352,0.368888194917172,0.353354906506992,0.306095864153608,0.293512003581114,0.342690906761482,0.43355490527025,0.392690935739098,0.300835302048034,0.317630536806862,0.325356759506131,0.40974153450576,0.329440889665163,0.35823643320956,0.36450412280519
"ABalaapppa","ABalaapppa",0.492340570078153,0.407464050094545,0.379370249470519,0.42119549414221,0.515150923770814,0.423528581875358,0.412695182283762,0.449530037381009,0.521514258250676,0.456696842489172,0.385696152324965,0.489100904004451,0.38074897047179,0.440480858369833,0.569890292638638,0.318613809546505,0.468575383479213,0.453760361760654,0.471924337372506,0.396790061110238,0.3651077748281,0.394987605937338
"ABalaapppaa","ABalaapppaa",0.566826017350179,NA,0.431228788177145,0.570539476125582,NA,0.673269345618831,0.37762231545625,NA,0.481079671026561,0.484137851579784,0.563006206682252,0.590086888864917,0.569465737611203,0.420242599927826,0.559419966082641,0.451274212676436,NA,0.572945295341822,0.453726620550708,0.44999876997428,0.519244159569597,0.478846672618403
"ABalaapppap","ABalaapppap",0.486940347519875,0.606953804175801,0.714138279503054,0.432815393370292,NA,0.846455113724236,0.642514734342252,0.793559425559104,0.809392176176914,0.581934624426717,0.537020853092956,0.649821917608209,0.830706695393524,0.473788514630314,0.587085836384344,0.44575635313094,0.653388520124632,0.494096128774007,0.6970468579159,0.683014866203456,0.639308410884292,0.423497735594964
"ABalaapppp","ABalaapppp",0.335252639566131,0.364140925948178,0.361774619515828,0.441976497559646,0.427023820345196,0.418219916010517,0.414688566635122,0.489790306160291,0.406589813855593,0.376120506657778,0.408916305834767,0.371479512635693,0.335582706624108,0.428596053284033,0.424429705196693,0.348486670846508,0.451824299866478,0.364017503713298,0.348172129644302,0.352297321997839,0.355285058615518,0.327442797503417
"ABalaappppa","ABalaappppa",0.48522533902457,0.573780316062066,0.501851204369295,0.43358094532473,0.364878019352217,0.544691096200446,0.495242252470299,0.53903188462977,0.567364800464114,0.478444611075247,0.446195525626164,0.639854780694187,0.4459959157305,0.480672088497556,0.508949393976734,0.356857041204237,0.392509885457898,0.528064775616194,0.460900457753207,0.481429505023562,0.499436894588287,0.428510750071793
"ABalaappppp","ABalaappppp",0.561169510312532,0.484949514421715,0.459751162053677,0.461034312968447,0.433794104136272,0.554848031210178,0.438882419498858,0.465130765832196,0.488043588369327,0.451713656867155,0.59707619125891,0.500096620589895,0.469921661975021,0.506345681024762,0.497354959207284,0.286121750087293,0.446279556347048,0.430368131304196,0.515400852048714,0.467959959579522,0.586902938277577,0.447083358401058
"ABalap","ABalap",0.158919725813323,0.189468126244203,0.133269892774344,0.116475606917426,0.165930903307582,0.176135094327557,0.16099954698761,0.189791041363329,0.222687694610695,0.156729394884828,0.205843040694147,0.14064655313474,0.141127746725958,0.167280859360507,0.185078311266403,0.164193237804751,0.166345577287723,0.142712369805515,0.132794818942344,0.220507961035745,0.135854515285248,0.157564039577927
"ABalapa","ABalapa",0.18257869773152,0.198266082199259,0.175924195955728,0.197050770980554,0.199072846819452,0.229036523108532,0.242118099087591,0.273049054375515,0.219704929425716,0.218646895772241,0.276213711329034,0.183593780454629,0.230008470623506,0.22810655648871,0.262073472523152,0.143234862217282,0.200197804714066,0.170717965144284,0.240090103967849,0.210819157564507,0.196144204543182,0.155536871809901
"ABalapaa","ABalapaa",0.337657477414654,0.275354975980673,0.301858079455699,0.312034119666202,0.303267696267867,0.291795936766985,0.332071918191576,0.354157590567648,0.417206542360051,0.314131194763811,0.362884515100441,0.305741430180698,0.325905998940798,0.334430921399866,0.267284468272366,0.295872503036935,0.303426365546198,0.286970827027144,0.295793854375551,0.36972073336725,0.291427157213248,0.33852869685361
"ABalapaaa","ABalapaaa",0.370868158043562,0.341976380397293,0.296686854744121,0.375603309986459,0.470192068620156,0.403312634556163,0.417172436353627,0.409878036988205,0.440440468878734,0.313893117848619,0.412889428598753,0.356623217873301,0.377918309814802,0.376459920697988,0.319469448153364,0.333859934703836,0.346163461225373,0.474647068731697,0.313753305740032,0.314690698338131,0.322873524621103,0.435720390904071
"ABalapaaaa","ABalapaaaa",0.36870688854065,0.454395784824593,0.445316178201018,0.406963872476421,0.516649782853221,0.6038625343508,0.555244363678577,0.438248075647213,0.535360833446446,0.420108746087834,0.499042381315517,0.420968799907115,0.485439160294889,0.428106343226695,0.479159527384012,0.406149070759571,0.455165021999304,0.474285075116083,0.466840117903841,0.503504288890089,0.421870194266958,0.369350058985431
"ABalapaaaaa","ABalapaaaaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637378384426577,NA,NA,NA,NA,NA,0.6497180802667,0.622108341094526,0.544672812940333,0.609600738399073
"ABalapaaaap","ABalapaaaap",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362228046510758,NA,NA,0.657231586377075,NA,NA,NA,NA,NA,0.582560737587715,0.618807315243407,0.490181258050891,0.505097684214901
"ABalapaaap","ABalapaaap",0.408623682153298,0.46041247675801,0.320325724744073,0.405712037843184,0.395327876859896,0.445076497034632,0.461175803844026,0.408212428924903,0.428413930730241,0.40398369351635,0.341883106570435,0.399174217547231,0.424899646497366,0.438283642594908,0.305590945488705,0.347047067330894,0.331772079261384,0.483636110140851,0.357745954858098,0.330541440681561,0.410527452297038,0.376751971357042
"ABalapaaapa","ABalapaaapa",0.495230072113001,0.402634588448581,0.370733050860702,0.430368847827678,0.409831880505038,0.459381215332382,0.372927993677154,0.450650377881683,0.427902110667991,0.367557442336228,0.493047691663906,0.37645677479702,0.460690206181931,0.54127063436405,0.456316249704227,0.331381838663749,0.427199732209391,0.464342754363643,0.451207486057333,0.591690523987107,0.430065771610943,0.43449206538704
"ABalapaaapp","ABalapaaapp",0.366826385372292,0.354589777439715,0.408168762655248,0.479553545899884,0.445445985383182,0.587438895001549,0.481773257967875,0.415415616421963,0.506873489983446,0.363958915393451,0.493187433892685,0.376334378512484,0.486688694931339,0.543845469471949,0.459415022541405,0.323828472083704,0.400833213903899,0.455490832839654,0.606889464980139,0.721200507194072,0.446622894873743,0.508800080187032
