Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
AB	NA	NA	NA	NA	13.2	NA	NA	NA	NA
ABa	16	NA	NA	NA	13.3	13.8	NA	NA	NA
ABal	17	0	10.7	NA	14.6	13.9	NA	NA	5.1
ABala	21	12.1	16.1	14.7	16.1	17.4	15.4	13.8	15.6
ABalaa	29	20.8	21.8	22.7	25.8	26	24.6	22.5	20.8
ABalaaa	28	26	28.3	28.4	30.4	35.8	29.3	26	26
ABalaaaa	38	34.5	38.3	42.6	43.1	46.9	44	36.2	34.3
ABalaaaal	67	40.2	43.3	51.3	44.8	51.1	42.3	41.8	40.2
ABalaaaala	84	76.3	NA	93.1	87.5	92.6	79.1	73	NA
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	129	66.2	NA	90.5	NA	87.6	77.5	73	NA
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	67	40.2	48.3	53.7	48.5	51.1	45.3	43.4	41.8
ABalaaaarl	74	57.8	NA	80.5	73.7	77.5	68.6	64.6	NA
ABalaaaarla	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarr	74	61.1	NA	72.9	72.4	82.5	67.1	64.6	NA
ABalaaaarra	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaap	38	31	34.5	40.1	39.3	41.9	34.9	32.8	31
ABalaaapa	57	38.6	42.1	50	46.1	49.5	45.3	41.8	36.8
ABalaaapal	54	57.8	NA	82.9	73.6	74	62.8	59.5	NA
ABalaaapall	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapar	64	78.1	NA	100.6	NA	111	85.1	78.1	NA
ABalaaaparl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapp	57	37	42.1	51.3	43.5	47.8	45.3	40.2	36.8
ABalaaappl	64	66.1	NA	95.7	90.1	89.2	79.1	73	NA
ABalaaappll	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaappr	54	54.4	NA	71.7	66.2	70.7	61.3	61.1	NA
ABalaaapprl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaap	28	26	28.3	28.4	38	35.8	29.3	27.8	26
ABalaapa	38	34.5	42.3	46.5	40.4	45.2	39.4	37.8	32.5
ABalaapaa	67	41.8	48.1	54.9	51	56.1	49.8	45.1	43.5
ABalaapaaa	84	79.7	NA	100.6	NA	105.9	82	94.9	NA
ABalaapaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaap	79	66.2	NA	85.6	NA	85.7	73	73	NA
ABalaapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapap	67	43.5	48.1	54.9	48.5	52.8	48.3	45.1	41.9
ABalaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapapp	54	54.5	NA	70.4	69.9	70.6	58.2	57.9	NA
ABalaapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapp	38	29.3	34.5	36.2	34	40.2	31.9	31	29.3
ABalaappa	67	43.7	45.8	52.6	48.5	51	48.3	45.2	43.4
ABalaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappap	54	56.1	NA	77.8	71.1	80.8	65.8	62.9	NA
ABalaappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappp	52	37	39.6	50.1	42.1	46	42.3	38.5	36.8
ABalaapppa	89	71.1	NA	110.6	87.5	96	76.3	74.6	NA
ABalaapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppp	64	52.6	NA	71.6	63.6	65.6	56.9	56.1	NA
ABalaappppa	119	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalap	29	20.8	21.8	22.7	25.8	26	24.6	22.5	20.8
ABalapa	28	24.2	25.6	28.4	30.4	34.1	27.8	24.2	24.2
ABalapaa	38	34.5	38.3	42.6	46.7	43.5	39.5	36.3	34.3
ABalapaaa	47	43.5	47	57.4	48.5	54.6	48.3	45.1	41.9
ABalapaaaa	119	84.7	NA	120.7	NA	NA	88	94.9	NA
ABalapaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaap	69	54.5	NA	75.4	73.7	69	62.6	56.1	NA
ABalapaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaap	48	38.5	42	51.3	43.5	47.8	45.3	40.1	38.5
ABalapaapa	98	73	NA	104.3	85	84.2	85	NA	NA
ABalapaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
