Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
AB	15	NA	NA	NA	NA	3.2	NA	NA	NA
ABa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABal	NA	NA	NA	4.4	NA	NA	6.7	NA	NA
ABala	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaala	NA	NA	29.3	NA	NA	NA	NA	NA	29.3
ABalaaaalal	225	16.7	NA	40.2	NA	21.1	54	43.1	NA
ABalaaaalar	45	16.7	NA	40.2	NA	21.1	54	41.2	NA
ABalaaaalp	NA	NA	29.3	NA	90.8	NA	NA	NA	29.3
ABalaaaalpa	35	29.1	NA	42.7	NA	26	45.8	43.1	NA
ABalaaaalpp	180	29.1	NA	42.7	NA	26	54	43.1	NA
ABalaaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarl	NA	NA	23.7	NA	NA	NA	NA	NA	27.3
ABalaaaarla	90	39.7	NA	50	10.2	35.8	62.2	51	NA
ABalaaaarlp	235	39.7	NA	50	10.2	35.8	62.2	47.1	NA
ABalaaaarr	NA	NA	23.7	NA	NA	NA	NA	NA	27.3
ABalaaaarra	90	35.5	NA	57.3	11.4	30.9	63.9	47.1	NA
ABalaaaarrp	235	35.5	NA	57.3	11.4	30.9	63.9	51	NA
ABalaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapal	NA	NA	35	NA	NA	NA	NA	NA	37.8
ABalaaapall	265	10.3	NA	53.6	16.6	45.6	78.6	62.9	NA
ABalaaapalr	265	12.4	NA	53.6	16.6	45.6	78.6	60.9	NA
