Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
AB	NA	NA	NA	NA	13.5	NA	NA	NA	NA
ABa	16	NA	NA	NA	13.6	13.3	NA	NA	NA
ABal	17	0	11.9	NA	14.9	13.4	NA	NA	6.3
ABala	21	14.9	18	14.2	16.4	16.8	16.9	16.1	19.4
ABalaa	29	25.7	24.4	22.1	26.5	25.1	27.2	26.3	25.9
ABalaaa	28	32.1	31.6	27.5	31.1	34.5	32.2	30.3	32.4
ABalaaaa	38	42.8	42.9	41.3	44.1	45.3	48.4	42.2	42.7
ABalaaaal	67	49.7	48.4	49.7	45.9	49.3	46.6	48.7	50.1
ABalaaaala	84	94.4	NA	90.3	89.6	89.4	87.1	85.2	NA
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	129	81.9	NA	87.7	NA	84.6	85.3	85.2	NA
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	67	49.7	54	52	49.8	49.3	49.9	50.7	52.2
ABalaaaarl	74	71.5	NA	78	75.6	74.8	75.5	75.4	NA
ABalaaaarla	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarr	74	75.5	NA	70.7	74.2	79.7	73.9	75.4	NA
ABalaaaarra	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaap	38	38.4	38.7	38.8	40.2	40.4	38.4	38.2	38.6
ABalaaapa	57	47.7	47.1	48.5	47.3	47.8	50	48.9	46
ABalaaapal	54	71.5	NA	80.4	75.5	71.6	69.1	69.4	NA
ABalaaapall	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapar	64	96.6	NA	97.5	NA	107.3	93.8	91.1	NA
ABalaaaparl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapp	57	45.7	47.1	49.7	44.6	46.1	50	46.9	46
ABalaaappl	64	81.9	NA	92.8	92.3	86.1	87.2	85.2	NA
ABalaaappll	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaappr	54	67.3	NA	69.5	67.9	68.3	67.5	71.3	NA
ABalaaapprl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaap	28	32.1	31.6	27.5	39	34.5	32.2	32.4	32.4
ABalaapa	38	42.8	47.3	45.1	41.3	43.6	43.4	44.1	40.6
ABalaapaa	67	51.8	53.9	53.2	52.3	54.3	54.8	52.7	54.4
ABalaapaaa	84	98.7	NA	97.5	NA	102.4	90.3	110.7	NA
ABalaapaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaap	79	82	NA	83	NA	82.9	80.4	85.2	NA
ABalaapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapap	67	53.8	53.9	53.2	49.7	51	53.2	52.7	52.2
ABalaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapapp	54	67.4	NA	68.2	71.7	68.3	64.1	67.5	NA
ABalaapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapp	38	36.2	38.7	35.1	34.9	38.8	35.1	36.3	36.5
ABalaappa	67	54	51.3	51	49.7	49.3	53.3	52.7	54.2
ABalaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappap	54	69.4	NA	75.4	72.9	78	72.4	73.4	NA
ABalaappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappp	52	45.7	44.3	48.5	43.2	44.4	46.6	44.9	45.9
ABalaapppa	89	88	NA	107.2	89.6	92.7	84	87.1	NA
ABalaapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppp	64	65	NA	69.4	65.2	63.4	62.6	65.4	NA
ABalaappppa	119	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalap	29	25.7	24.4	22.1	26.5	25.1	27.2	26.3	25.9
ABalapa	28	30	28.7	27.5	31.1	32.9	30.6	28.3	30.1
ABalapaa	38	42.6	42.9	41.3	47.8	42.1	43.5	42.3	42.7
ABalapaaa	47	53.9	52.7	55.7	49.8	52.7	53.3	52.7	52.2
ABalapaaaa	119	104.9	NA	117	NA	NA	96.9	110.7	NA
ABalapaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaap	69	67.4	NA	73.1	75.6	66.7	68.9	65.4	NA
ABalapaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaap	48	47.6	47	49.7	44.6	46.1	49.9	46.9	48
ABalapaapa	98	90.3	NA	101.1	87.1	81.3	93.6	NA	NA
ABalapaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaapp	63	65.2	NA	64.5	64	61.8	65.7	NA	NA
ABalapaappa	109	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapap	38	38.3	40	35.1	38.9	38.8	38.5	36.3	36.5
ABalapapa	48	49.8	54.1	52.2	54.9	51	54.8	52.9	56.3
ABalapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapap	63	65.2	NA	63.4	67.8	63.3	57.6	61.6	NA
ABalapapapa	119	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapp	42	47.8	45.7	46.1	47.1	46	48.3	45	48
ABalapappa	64	56.9	NA	53.5	57.5	57	54.3	57.5	NA
ABalapappaa	114	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappp	74	69.4	NA	71.8	72.8	69.9	70.7	69.4	NA
ABalapapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapp	28	30	28.7	27.5	29.8	31.3	30.6	30.3	30.1
ABalappa	38	40.5	42.9	40	42.8	45.3	41.8	38.2	44.9
ABalappaa	67	58.1	58.3	61.8	57.4	62.4	59.9	56.7	58.5
ABalappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaap	99	NA	NA	82.9	NA	86.1	78.6	95	NA
ABalappaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappap	52	47.7	47	46	46.1	44.5	48.3	44.9	43.7
ABalappapa	104	98.6	NA	102.4	NA	100.8	103.6	98.9	NA
ABalappapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapp	64	69.4	NA	64.5	65.2	63.4	64.2	65.4	NA
ABalappappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappp	38	36.2	35.8	31.3	37.7	35.6	35.2	34.2	34.4
ABalapppa	48	41.8	47.2	46.1	48.4	46.1	48.2	47	45.9
ABalapppaa	83	77.5	NA	81.6	75.6	70	79.1	77.2	NA
ABalapppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppap	63	62.9	NA	65.7	61.4	60.2	64.3	61.5	NA
ABalapppapa	119	NA	NA	NA	NA	NA	NA	NA	NA
