Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
AB	NA	NA	NA	NA	13.5	NA	NA	NA	NA
ABa	16	NA	NA	NA	13.6	13.3	NA	NA	NA
ABal	17	0	11.9	NA	14.9	13.4	NA	NA	6.3
ABala	21	15.2	18.5	14.5	16.5	17.1	17.3	16.4	19.8
ABalaa	29	26.1	25.1	22.5	26.5	25.5	27.8	26.9	26.4
ABalaaa	28	32.7	32.6	28	31.2	35.2	33	31	33
ABalaaaa	38	43.5	44.3	42.1	44.2	46.1	49.6	43.1	43.6
ABalaaaal	67	50.5	49.9	50.7	46	50.2	47.7	49.8	51.1
ABalaaaala	84	95.9	NA	92	89.8	91.1	89.2	87	NA
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	129	83.2	NA	89.5	NA	86.2	87.4	87	NA
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	67	50.5	55.7	53.1	49.9	50.2	51.1	51.8	53.2
ABalaaaarl	74	72.6	NA	79.6	75.7	76.2	77.4	77	NA
ABalaaaarla	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarr	74	76.8	NA	72	74.4	81.1	75.7	77	NA
ABalaaaarra	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaap	38	39.1	39.9	39.6	40.3	41.2	39.3	39.1	39.4
ABalaaapa	57	48.5	48.5	49.5	47.4	48.7	51.2	49.9	46.9
ABalaaapal	54	72.6	NA	81.9	75.6	72.9	70.8	70.9	NA
ABalaaapall	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapar	64	98.2	NA	99.4	NA	109.3	96.1	93.1	NA
ABalaaaparl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapp	57	46.5	48.5	50.7	44.7	47	51.2	47.9	46.9
ABalaaappl	64	83.2	NA	94.6	92.5	87.7	89.3	87	NA
ABalaaappll	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaappr	54	68.4	NA	70.9	68	69.5	69.1	72.8	NA
ABalaaapprl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaap	28	32.7	32.6	28	39.1	35.2	33	33.1	33
ABalaapa	38	43.5	48.8	45.9	41.4	44.4	44.4	45	41.4
ABalaapaa	67	52.6	55.6	54.2	52.4	55.3	56.1	53.9	55.4
ABalaapaaa	84	100.3	NA	99.4	NA	104.3	92.5	113.1	NA
ABalaapaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaap	79	83.3	NA	84.6	NA	84.4	82.3	87	NA
ABalaapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapap	67	54.7	55.6	54.2	49.8	51.9	54.5	53.9	53.2
ABalaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapapp	54	68.5	NA	69.6	71.8	69.5	65.6	69	NA
ABalaapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapp	38	36.8	39.9	35.8	35	39.5	35.9	37	37.2
ABalaappa	67	54.9	52.9	52	49.8	50.2	54.6	53.9	55.3
ABalaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappap	54	70.5	NA	76.9	73.1	79.5	74.2	75	NA
ABalaappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappp	52	46.5	45.7	49.5	43.3	45.2	47.7	45.9	46.7
ABalaapppa	89	89.5	NA	109.3	89.8	94.4	86.1	89.1	NA
ABalaapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppp	64	66.1	NA	70.8	65.4	64.6	64.2	66.9	NA
ABalaappppa	119	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalap	29	26.1	25.1	22.5	26.5	25.5	27.8	26.9	26.4
ABalapa	28	30.5	29.6	28	31.2	33.5	31.3	28.9	30.7
ABalapaa	38	43.3	44.3	42.1	47.9	42.9	44.5	43.2	43.6
ABalapaaa	47	54.8	54.3	56.8	49.9	53.7	54.6	53.9	53.2
ABalapaaaa	119	106.6	NA	119.3	NA	NA	99.3	113.1	NA
ABalapaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaap	69	68.5	NA	74.5	75.7	68	70.6	66.9	NA
ABalapaaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaap	48	48.4	48.4	50.7	44.7	47	51.1	47.9	48.9
ABalapaapa	98	91.8	NA	103.1	87.2	82.8	95.9	NA	NA
ABalapaapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaapp	63	66.2	NA	65.7	64.1	62.9	67.3	NA	NA
ABalapaappa	109	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapap	38	38.9	41.3	35.8	39	39.5	39.4	37	37.2
ABalapapa	48	50.6	55.8	53.3	55	51.9	56.1	54.1	57.4
ABalapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapap	63	66.2	NA	64.6	67.9	64.5	59	62.9	NA
ABalapapapa	119	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapp	42	48.6	47.2	47	47.2	46.9	49.5	46	48.9
ABalapappa	64	57.8	NA	54.5	57.7	58	55.6	58.8	NA
ABalapappaa	114	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappp	74	70.5	NA	73.2	73	71.2	72.4	70.9	NA
ABalapapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapp	28	30.5	29.6	28	29.8	31.8	31.3	31	30.7
ABalappa	38	41.2	44.3	40.8	42.9	46.1	42.8	39.1	45.7
ABalappaa	67	59.1	60.1	63	57.6	63.5	61.3	57.9	59.6
ABalappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaap	99	NA	NA	84.5	NA	87.7	80.5	97	NA
ABalappaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappap	52	48.5	48.4	46.9	46.2	45.3	49.5	45.9	44.6
ABalappapa	104	100.2	NA	104.4	NA	102.7	106.1	101.1	NA
ABalappapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapp	64	70.5	NA	65.8	65.4	64.6	65.7	66.9	NA
ABalappappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappp	38	36.8	36.9	31.9	37.7	36.3	36.1	34.9	35
ABalapppa	48	42.5	48.7	47	48.5	47	49.4	48	46.7
ABalapppaa	83	78.8	NA	83.2	75.7	71.3	81	78.9	NA
ABalapppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppap	63	64	NA	67	61.6	61.4	65.9	62.8	NA
ABalapppapa	119	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
