Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
AB	16	0	0	NA	17	3.4	NA	NA	0
ABa	33	0	0	0	31.6	18.9	0	0	0
ABal	51	1.7	12	4.6	47.6	34.5	6.1	0	6.8
ABala	73	15.5	29.5	20.6	65	53.7	23.1	15.5	24.1
ABalaa	103	38	52.6	44.8	92.3	81.4	49.3	39.8	46.7
ABalaaa	132	65.8	82.2	74.5	124	118.9	80.2	67.5	74.5
ABalaaaa	171	102.1	121.8	118.4	168.4	167.5	125.8	105.5	110.5
ABalaaaal	239	144	166.4	171	214.4	220.3	169.6	149	152.4
ABalaaaala	324	222	NA	265.3	303.2	314.6	250.2	223.7	NA
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	369	211.9	NA	262.7	NA	309.6	248.6	223.7	NA
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	239	144	171.4	173.4	218.2	220.3	172.6	150.7	154.1
ABalaaaarl	314	203.5	NA	255.2	293.2	299.5	242.7	217	NA
ABalaaaarla	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarr	314	206.8	NA	247.6	291.9	304.5	241.2	217	NA
ABalaaaarra	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaap	171	98.6	118	115.9	164.6	162.5	116.7	102.1	107.2
ABalaaapa	229	138.9	161.4	167.2	212	213.6	163.6	145.7	145.7
ABalaaapal	284	198.4	NA	251.3	286.9	289.4	227.8	206.8	NA
ABalaaapall	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapar	294	218.7	NA	269	NA	326.4	250.2	225.4	NA
ABalaaaparl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapp	229	137.3	161.4	168.4	209.4	211.9	163.6	144	145.7
ABalaaappl	294	205.1	NA	265.3	300.7	302.8	244.2	218.7	NA
ABalaaappll	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaappr	284	193.3	NA	241.3	276.9	284.3	226.3	206.8	NA
ABalaaapprl	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaap	132	65.8	82.2	74.5	131.7	118.9	80.2	69.3	74.5
ABalaapa	171	102.1	125.7	122.3	173.3	165.8	121.2	108.8	108.8
ABalaapaa	239	145.7	175.2	178.5	225.7	223.7	172.6	155.7	154.1
ABalaapaaa	324	227.1	NA	280.3	NA	331.4	256.1	252.3	NA
ABalaapaaal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaap	319	213.6	NA	265.3	NA	311.2	247.1	230.4	NA
ABalaapaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapap	239	147.3	175.2	178.5	223.1	220.3	171.1	155.7	152.4
ABalaapapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapapp	294	203.5	NA	250.1	294.4	292.7	230.8	215.3	NA
ABalaapappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapp	171	96.8	118	112	167	160.8	113.7	102.1	105.5
ABalaappa	239	142.3	165.2	165.9	216.9	213.6	163.6	149	150.7
ABalaappaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappap	294	200.1	NA	245	289.4	296.1	230.8	213.6	NA
ABalaappapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappp	224	135.6	158.9	163.4	210.6	208.5	157.5	142.3	144
ABalaapppa	314	208.5	NA	275.3	299.5	306.2	235.3	218.7	NA
ABalaapppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaapppp	289	189.9	NA	236.3	275.7	275.9	215.9	200.1	NA
ABalaappppa	409	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalap	103	38	52.6	44.8	92.3	81.4	49.3	39.8	46.7
ABalapa	132	64.1	79.6	74.5	124	117.2	78.7	65.8	72.7
ABalapaa	171	100.3	119.3	118.4	172	162.5	119.7	103.8	108.8
ABalapaaa	219	145.7	167.7	177.2	221.9	218.7	169.6	150.7	152.4
ABalapaaaa	339	232.1	NA	299.2	NA	NA	259.1	247.3	NA
