Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
AB	16	52.5	40.8	NA	23.5	23.7	NA	NA	42.7
ABa	33	52.5	40.8	61.3	38.5	38.7	47.6	56.1	42.7
ABal	51	54.6	54.2	65.7	54.9	53.8	54.3	56.1	51.2
ABala	73	71.7	73.8	81.2	72.7	72.3	73.1	74.2	72.7
ABalaa	103	99.5	99.7	104.7	100.7	99.1	101.9	102.5	100.9
ABalaaa	132	133.9	132.8	133.5	133.2	135.3	136	134.9	135.6
ABalaaaa	171	178.8	177.1	176.1	178.7	182.3	186.2	179.2	180.5
ABalaaaal	239	230.7	227.1	227.1	225.8	233.3	234.5	230	232.8
ABalaaaala	324	327.2	NA	318.6	316.8	324.4	323.3	317.2	NA
ABalaaaalal	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalp	369	314.7	NA	316.1	NA	319.6	321.5	317.2	NA
ABalaaaalpa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaar	239	230.7	232.7	229.4	229.7	233.3	237.8	232	234.9
ABalaaaarl	314	304.3	NA	308.8	306.6	309.8	315	309.4	NA
ABalaaaarla	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarr	314	308.4	NA	301.4	305.3	314.7	313.4	309.4	NA
ABalaaaarra	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaap	171	174.5	172.9	173.7	174.8	177.5	176.2	175.3	176.4
ABalaaapa	229	224.4	221.5	223.4	223.4	226.8	227.9	226.2	224.5
ABalaaapal	284	298	NA	305	300.1	300.1	298.6	297.5	NA
ABalaaapall	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalaaapar	294	323.1	NA	322.2	NA	335.8	323.3	319.2	NA
ABalaaaparl	NA	NA	NA	NA	NA	NA	NA	NA	NA
